Label,docId,Value,organize
Victory First   ,fbi10,7,Penn Station NYC
Into Excellence   ,fbi21,7,U-haul
The Source   ,fbi3,7,First Union Bank
The Hive,fbi18,7,Virginia National Bank
BuyBusters,cia1,7,United Connector
Star Square,"fbi14,fbi14",7,United
East Elm   ,fbi1,7,Empire State Vending Services
SunSide ,fbi4,7,New York Stock Exchange
Hues of Blues,fbi1,7,University of Virginia
Green Team,fbi19,7,City Computer Services Corp.
Blessed Rest ,fbi11,7,Clark &amp; Co
The Home Dome,cia1,7,Office Supplies Co.
Peak Performance,fbi8,7,Select Gourmet Foods
Sweet Street,fbi6,7,First Union National Bank
SnapStitch,"fbi24,fbi20",7,Pyramid Bank of Cairo
Code Creations,fbi14,7,Central Bank of Dubai
Treasure Trove,fbi5,7,Sealink Container Corp.
FlashFresh,fbi4,7,Al Qaeda
Pristine Purpose ,"cia6,cia11",7,Taliban
Furs Kips,fbi9,7,Marvel Corporation
Limner Studio,cia8,7,German Intelligence
XyloFurniture,fbi7,7,American Diplomatic Mission Headquarters
Pop-Culture,"fbi8,fbi11,cia4",7,British Special Branch
Spray Shop,fbi1,7,M15
Find Agenda,fbi15,7,Sprint
CraftCreate,fbi8,7,US Post Office
FirstVictory,"cia7,cia4,cia10",7,INS
MoonStore,fbi1,7,Bush Intercontinental Airport
Silence Center,fbi5,7,Continental Airlines
WildWest,"fbi13,fbi10",7,Reagan National Airport
Heart Beat,fbi10,7,The Powhatan Company
Legend Soul,cia6,7,Pentagon
Maxima Company,"fbi5,fbi14,cia1",7,Home Depot
Winter Shop,docId,7,American Airlines
TV-Partner,fbi4,7,Border Patrol
LiftCenter,cia6,7,University of Texas
Forest Shop,cia5,7,Apex Paper Products Company
Thesis Company,fbi2,7,Aryan Nations
MusicMany,"fbi16,fbi15",7,Army CID
BreakDown,fbi6,7,Ryder Truck Rental
Lion Family,"fbi12,fbi10",7,Budget Storage Units
Level Travel,fbi23,7,Beth Israel
Ethnic Shop,fbi19,7,Coast Guard
Early Bird,"se1,fbi17,fbi11",7,Passport Agency
Soprano House,fbi10,7,AMTRAK
Red Room,fbi8,7,Penn Station NYC
Novel Center,cia8,7,U-haul
Modestico,fbi6,7,First Union Bank
First Award,fbi4,7,Virginia National Bank
Traffic Center,fbi14,7,United Connector
Ice Castle,"fbi8,fbi11,cia4",7,United
KnowChance,fbi5,7,Empire State Vending Services
NoWorries,fbi8,7,New York Stock Exchange
Elegance,se2,7,University of Virginia
Win Ribbon,fbi4,7,City Computer Services Corp.
Rent Platform,fbi15,7,Clark &amp; Co
ZeroClerk,fbi5,7,Office Supplies Co.
ReactRegister,fbi19,7,Select Gourmet Foods
Paper City,fbi1,7,First Union National Bank
Witch Union,docId,7,Pyramid Bank of Cairo
Poem House,fbi6,7,Central Bank of Dubai
Graphic Master,cia1,7,Sealink Container Corp.
ReadySketch,"fbi16,fbi15",7,Al Qaeda
Live Symbol,fbi10,7,Taliban
Fresh Accent,"cia6,cia11",7,Marvel Corporation
Flash Illusion,cia6,7,German Intelligence
Bluelake Realtors,fbi5,7,American Diplomatic Mission Headquarters
Yummy Meals,fbi2,7,British Special Branch
Best Bytes,fbi9,7,M15
Kino Energy,fbi1,7,Sprint
Saturn Wipers,fbi1,7,US Post Office
PoseidonS Plates,cia1,7,INS
Distinct Clips,fbi1,7,Bush Intercontinental Airport
Argo Energy,cia6,7,Continental Airlines
Arc Security,fbi18,7,Reagan National Airport
Fentech Batteries,"fbi13,fbi10",7,The Powhatan Company
Crystal Diner,fbi8,7,Pentagon
Crwonville Hotels,fbi4,7,Home Depot
Seaview Properties,fbi20,7,American Airlines
Megatech,fbi8,7,Border Patrol
CyberMunch,fbi3,7,University of Texas
Digiwell,fbi4,7,Apex Paper Products Company
Innovix,fbi10,7,Aryan Nations
Cloudmore,cia4,7,Army CID
Systemiq,cia5,7,Ryder Truck Rental
Smartsoft,fbi21,7,Budget Storage Units
Clickwell,"fbi12,fbi10",7,Beth Israel
Weblund,fbi23,7,Coast Guard
Quanterra,fbi10,7,Passport Agency
Avantex,fbi11,7,AMTRAK
Ventura,fbi19,7,Penn Station NYC
Sphere,fbi7,7,U-haul
Bitling,fbi10,7,First Union Bank
Elementaliq,cia10,7,Virginia National Bank
Tech Wreck,cia7,7,United Connector
CyberFiber,cia5,7,United
Tech Check,cia4,7,Empire State Vending Services
BitSkit,cia3,7,New York Stock Exchange
Click Tick,fbi2,7,University of Virginia
Soft Loft,fbi1,7,City Computer Services Corp.
Online Airline,cia7,7,Clark &amp; Co
Wire Attire,cia5,7,Office Supplies Co.
ByteWrite,cia4,7,Select Gourmet Foods
SpaceChase,cia3,7,First Union National Bank
Software Flair,fbi2,7,Pyramid Bank of Cairo
Innovation Station,"se1,fbi17,fbi11",7,Central Bank of Dubai
Sky High,fbi9,7,Sealink Container Corp.
LabTab,"fbi8,fbi11,cia4",7,Al Qaeda
AppCap,fbi8,7,Taliban
BluePond,fbi8,7,Marvel Corporation
Interstellar,fbi8,7,German Intelligence
7 Stream,fbi7,7,American Diplomatic Mission Headquarters
AstraMind,fbi6,7,British Special Branch
RedSpace,fbi6,7,M15
Cyber Monkey,"fbi5,fbi14,cia1",7,Sprint
Carat Wire,fbi5,7,US Post Office
Riverbed,fbi5,7,INS
Circular,fbi4,7,Bush Intercontinental Airport
99% Percent,fbi4,7,Continental Airlines
Aurora Alliance,fbi4,7,Reagan National Airport
Vantage Group,fbi3,7,The Powhatan Company
Delta Smile,"fbi24,fbi20",7,Pentagon
SmartSeer,fbi23,7,Home Depot
Tomorrow,fbi21,7,American Airlines
Zesty Zingers,fbi2,7,Border Patrol
Eager Essence,fbi19,7,University of Texas
Voila Victory,fbi19,7,Apex Paper Products Company
Push To Start,fbi18,7,Aryan Nations
Slick Systems,"fbi16,fbi15",7,Army CID
All Systems Go,fbi15,7,Ryder Truck Rental
Catch Up!,fbi14,7,Budget Storage Units
Run This Town,"fbi14,fbi14",7,Beth Israel
LetS Roll,"fbi13,fbi10",7,Coast Guard
Roll Up,"fbi12,fbi10",7,Passport Agency
Hot Takes,fbi11,7,AMTRAK
For The Thrill,fbi10,7,Penn Station NYC
Thrill Of The Chase,fbi10,7,U-haul
Will Thrill,fbi10,7,First Union Bank
Electric Essence,fbi1,7,Virginia National Bank
Feel Electric,fbi1,7,United Connector
Slick Services,fbi1,7,United
Pick Slick,fbi1,7,Empire State Vending Services
Rev Up,cia8,7,New York Stock Exchange
Cool Solutions,"cia7,cia4,cia10",7,University of Virginia
Too Cool,"cia6,cia11",7,City Computer Services Corp.
Ready Rides,cia6,7,Clark &amp; Co
Opulent Obsession,cia6,7,Office Supplies Co.
Obsessed Opportunities,cia5,7,Select Gourmet Foods
Compelling Convo,cia1,7,First Union National Bank
Crafty Conversations,cia1,7,Pyramid Bank of Cairo
Get Crafty,fbi10,7,Central Bank of Dubai
Cool And Crafty,fbi21,7,Sealink Container Corp.
Icy Nicey,fbi3,7,Al Qaeda
Icy Cool,fbi18,7,Taliban
Icy Expressions,cia1,7,Marvel Corporation
Amped Up,"fbi14,fbi14",7,German Intelligence
Amped Ambition,fbi1,7,American Diplomatic Mission Headquarters
Zesty Zoom,fbi4,7,British Special Branch
Spice Of Life,fbi1,7,M15
Dash Of Daring,fbi19,7,Sprint
Truth Or Dare,fbi11,7,US Post Office
Gotta Dash,cia1,7,INS
On The Move,fbi8,7,Bush Intercontinental Airport
Winning Wonder,fbi6,7,Continental Airlines
Wins Begin,"fbi24,fbi20",7,Reagan National Airport
Smooth Operators,fbi14,7,The Powhatan Company
Smooth Operation,fbi5,7,Pentagon
Too Cool,fbi4,7,Home Depot
Cool Corp.,"cia6,cia11",7,American Airlines
Flashy Favorites,fbi9,7,Border Patrol
Flash In Action,cia8,7,University of Texas
Active Assets,fbi7,7,Apex Paper Products Company
All The Power,"fbi8,fbi11,cia4",7,Aryan Nations
Power Pros,fbi1,7,Army CID
String Sing,fbi15,7,Ryder Truck Rental
Excellent Essence,fbi8,7,Budget Storage Units
Exciting Sites,"cia7,cia4,cia10",7,Beth Israel
Coolest Cats,fbi1,7,Coast Guard
Zing Zang,fbi5,7,Passport Agency
Mr. Cool,"fbi13,fbi10",7,AMTRAK
City Slick,fbi10,7,Penn Station NYC
The Silver Bullet,cia6,7,U-haul
The One And Only,"fbi5,fbi14,cia1",7,First Union Bank
Lost In The Stars,docId,7,Virginia National Bank
Interstellar,fbi4,7,United Connector
Beyond Belief,cia6,7,United
Beauty Is In The Eye,cia5,7,Empire State Vending Services
Beyond Basic,fbi2,7,New York Stock Exchange
Back To The Basics,"fbi16,fbi15",7,University of Virginia
Crystal Clear,fbi6,7,City Computer Services Corp.
Cut Throat,"fbi12,fbi10",7,Clark &amp; Co
The Marvelous Mouse,fbi23,7,Office Supplies Co.
Fabulous FairyS,fbi19,7,Select Gourmet Foods
The Feathered Hen,"se1,fbi17,fbi11",7,First Union National Bank
Birdsong,fbi10,7,Pyramid Bank of Cairo
The Birds Nest,fbi8,7,Central Bank of Dubai
The Lions Den,cia8,7,Sealink Container Corp.
Freestyle,fbi6,7,Al Qaeda
Aquamarine,fbi4,7,Taliban
Whisper Willow,fbi14,7,Marvel Corporation
Breeze Blows,"fbi8,fbi11,cia4",7,German Intelligence
The Whisperer,fbi5,7,American Diplomatic Mission Headquarters
Pen And Paper,fbi8,7,British Special Branch
The FairytaleS Beginning,se2,7,M15
Mystique,fbi4,7,Sprint
The Shimmer,fbi15,7,US Post Office
Light Wings,fbi5,7,INS
The Loyal Follower,fbi19,7,Bush Intercontinental Airport
Band Of Flowers,fbi1,7,Continental Airlines
Cool Collective,docId,7,Reagan National Airport
The Collective,fbi6,7,The Powhatan Company
What A Catch,cia1,7,Pentagon
The Time Teller,"fbi16,fbi15",7,Home Depot
The Test Of Time,fbi10,7,American Airlines
Fleeting Foxes,"cia6,cia11",7,Border Patrol
Fish Out Of Water,cia6,7,University of Texas
The Phantom And The Fairy,fbi5,7,Apex Paper Products Company
Autumn Winds,fbi2,7,Aryan Nations
Winter Winds,fbi9,7,Army CID
Life Of The Party,fbi1,7,Ryder Truck Rental
Practicalities And More,fbi1,7,Budget Storage Units
Cool Beans,cia1,7,Beth Israel
TravelerS Tale,fbi1,7,Coast Guard
The Lonely Traveler,cia6,7,Passport Agency
The Rugged Traveler,fbi18,7,AMTRAK
The Echo Chamber,"fbi13,fbi10",7,Penn Station NYC
Time Flies,fbi8,7,U-haul
The Orchid,fbi4,7,First Union Bank
Hair Today,fbi20,7,Virginia National Bank
Curl Up And Dye,fbi8,7,United Connector
Hairhouse,fbi3,7,United
Dye Hard,fbi4,7,Empire State Vending Services
Clip Shop,fbi10,7,New York Stock Exchange
Hair We Go,cia4,7,University of Virginia
Hair To Please,cia5,7,City Computer Services Corp.
Shearly Beloved,fbi21,7,Clark &amp; Co
Hand Job Nail Salon,"fbi12,fbi10",7,Office Supplies Co.
Shearshank Redemption,fbi23,7,Select Gourmet Foods
Locksmith,fbi10,7,First Union National Bank
Loose Ends,fbi11,7,Pyramid Bank of Cairo
Split Ends,fbi19,7,Central Bank of Dubai
RazorS Edge,fbi7,7,Sealink Container Corp.
Get Buzzed,fbi10,7,Al Qaeda
The Pie Chart,cia10,7,Taliban
Cake Walk,cia7,7,Marvel Corporation
Get Sconed,cia5,7,German Intelligence
The Upper Crust,cia4,7,American Diplomatic Mission Headquarters
Gone A Rye,cia3,7,British Special Branch
Just Roll With It,fbi2,7,M15
I Loaf You,fbi1,7,Sprint
The Booze Hound,cia7,7,US Post Office
We Have What Ales Ya,cia5,7,INS
The Tipsy Tavern,cia4,7,Bush Intercontinental Airport
Tequila Mockingbird,cia3,7,Continental Airlines
Wish You Were Beer,fbi2,7,Reagan National Airport
The Shakesbeer,cia5,7,The Powhatan Company
Ale Aboard,fbi21,7,Pentagon
Wine Not,"fbi12,fbi10",7,Home Depot
The Grapevine,fbi23,7,American Airlines
Pie In The Sky,fbi10,7,Border Patrol
The Cod Father,fbi11,7,University of Texas
Thai Me Up,fbi19,7,Apex Paper Products Company
Nim Come Soup,fbi7,7,Aryan Nations
The Nosh Pit,fbi10,7,Army CID
Struck By Whitening,cia10,7,Ryder Truck Rental
Caps And Crowns,cia7,7,Budget Storage Units
The Whole Tooth,cia5,7,Beth Israel
WeRe Bi-Molar,cia4,7,Coast Guard
Pearls Of Wisdom,cia3,7,Passport Agency
The Filling Station,fbi2,7,AMTRAK
You Know The Drill,fbi1,7,Penn Station NYC
Flossy Pants,cia7,7,U-haul
Wok This Way,cia5,7,First Union Bank
Lord Of The Fries,cia4,7,Virginia National Bank
Pita Piper,cia3,7,United Connector
Life Of Pie,fbi2,7,United
