country,latitude,longitude,Random,
Montserrat,16.742498,-62.187366,0.116004538,
Ecuador,-1.831239,-78.183406,0.697288528,
Pakistan,30.3753,69.3451,0.990849462,
Makhachkala,42.9833,47.4833,0.336112164,Russia
South Dakota,43.969515,-99.901813,0.919409236,
Saint Kitts and Nevis,17.357822,-62.782998,0.711047178,
Pakistan,30.375321,69.345116,0.955817648,
Canada,51.2538,-85.3232,0.236737139,
Kazan,55.7908,49.1144,0.110579268,Russia
Ireland,53.1424,-7.6921,0.060350703,
Oklahoma,35.007752,-97.092877,0.155925824,
Iraq,33.223191,43.679291,0.637946649,
Kuwait,29.5,47.75,0.189417086,
New Jersey,40.058324,-74.405661,0.646091653,
Réunion,-21.115141,55.536384,0.683586997,
Cook Islands,-21.236736,-159.777671,0.658194563,
Astrakhan,46.3333,48.0167,0.154683216,Russia
Tanzania,-6.369028,34.888822,0.737817069,
Norway,60.472024,8.468946,0.020129037,
Mexico,23.6345,-102.5528,0.993699252,
Colombia,4.570868,-74.297333,0.923347307,
Saint Lucia,13.909444,-60.978893,0.403241896,
Sweden,63,16,0.584386631,
Tajikistan,38.861034,71.276093,0.597303886,
Brazil,-14.235,-51.9253,0.515633646,
Magas,43.1667,44.8167,0.985073193,Russia
Bermuda,32.321384,-64.75737,0.761634055,
Mexico,23.634501,-102.552784,0.78092617,
Groznyy,43.3125,45.6986,0.40783248,Russia
Slovenia,46.151241,14.995463,0.595982314,
Australia,-34.9285,138.6007,0.370500476,
West Virginia,38.597626,-80.454903,0.411279316,
Argentina,-38.4161,-63.6167,0.088233624,
Madagascar,-18.766947,46.869107,0.514974531,
Louisiana,31.244823,-92.145024,0.633280426,
Montana,46.879682,-110.362566,0.860695347,
Kiribati,-3.370417,-168.734039,0.790524664,
Liechtenstein,47.166,9.555373,0.397502561,
Ryazan,54.6167,39.7167,0.185268963,Russia
Bahrain,25.930414,50.637772,0.138718961,
Kostroma,57.7667,40.9333,0.929281914,Russia
Argentina,-38.416097,-63.616672,0.548169567,
Idaho,44.068202,-114.742041,0.79363422,
Guadeloupe,16.995971,-62.067641,0.934356447,
Bahrain,26.0275,50.55,0.675959002,
Portugal,39.3999,-8.2245,0.613627711,
North Carolina,35.759573,-79.0193,0.214798016,
Turks and Caicos Islands,21.694025,-71.797928,0.914470171,
Nepal,28.394857,84.124008,0.633008197,
Norfolk Island,-29.040835,167.954712,0.039055167,
Yaroslavl,57.6167,39.85,0.871351866,Russia
Anguilla,18.220554,-63.068615,0.532104055,
Paraguay,-23.4425,-58.4438,0.828656439,
Serbia,44.016521,21.005859,0.035620131,
Austria,47.516231,14.550072,0.685869414,
Djibouti,11.825138,42.590275,0.973057607,
Ulyanovsk,54.3167,48.3667,0.587014367,Russia
Irkutsk,52.2833,104.3,0.707023047,Russia
British Indian Ocean Territory,-6.343194,71.876519,0.953035934,
Algeria,28.0339,1.6596,0.413568291,
U.S. Virgin Islands,18.335765,-64.896335,0.371680876,
South Korea,35.907757,127.766922,0.032131591,
Barnaul,53.3567,83.7872,0.14530271,Russia
China,35.86166,104.195397,0.477603769,
Pskov,57.8167,28.3333,0.005155965,Russia
Brazil,-14.235004,-51.92528,0.504261828,
Uganda,1.373333,32.290275,0.81390657,
Peru,-9.19,-75.0152,0.914233808,
Iceland,64.9631,-19.0208,0.95290345,
Cyprus,35.1264,33.4299,0.059938333,
Equatorial Guinea,1.650801,10.267895,0.754786302,
Maldives,3.2028,73.2207,0.421431469,
Petropavlovsk-Kamchatskiy,53.0167,158.65,0.531382242,Russia
Kosovo,42.602636,20.902977,0.906793588,
Voronezh,51.6717,39.2106,0.613178606,Russia
Qatar,25.3548,51.1839,0.472793698,
Saint Pierre and Miquelon,46.941936,-56.27111,0.134086482,
Christmas Island,-10.447525,105.690449,0.877913507,
Qatar,25.354826,51.183884,0.017023709,
Nevada,38.80261,-116.419389,0.916076182,
New Zealand,-40.900557,174.885971,0.059712261,
Finland,61.92411,25.748151,0.744762432,
Armenia,40.069099,45.038189,0.949775364,
Ethiopia,9.145,40.489673,0.082104233,
Australia,-37.8136,144.9631,0.694080094,
New York,43.299428,-74.217933,0.05696755,
Chelyabinsk,55.15,61.4,0.371248548,Russia
Morocco,31.7917,-7.0926,0.475835462,
Saratov,51.5333,46,0.62894231,Russia
Zambia,-13.133897,27.849332,0.312117706,
Switzerland,46.8182,8.2275,0.471062736,
Rostov,47.2333,39.7167,0.255334182,Russia
Washington,47.751074,-120.740139,0.941042548,
France,46.227638,2.213749,0.411830285,
Antarctica,-75.250973,-0.071389,0.64728009,
Stavropol,45.05,41.9833,0.312357657,Russia
Arkhangelsk,64.55,40.5333,0.893332544,Russia
Kazakhstan,48.019573,66.923684,0.813724332,
Japan,36,138,0.826110652,
Canada,52.9399,-73.5491,0.988295192,
Cherkessk,44.2222,42.0575,0.70156508,Russia
Wyoming,43.075968,-107.290284,0.524470879,
Laos,19.85627,102.495496,0.696090498,
Maryland,39.045755,-76.641271,0.389964974,
Myanmar [Burma],21.913965,95.956223,0.502790625,
Malta,35.937496,14.375416,0.199008197,
Vladivostok,43.1167,131.9,0.923212407,Russia
Macau,22.198745,113.543873,0.490559866,
Zimbabwe,-19.015438,29.154857,0.824634692,
Tula,54.2,37.6167,0.845698108,Russia
Eritrea,15.179384,39.782334,0.554174223,
Canada,56.130366,-106.346771,0.461348155,
Mali,17.570692,-3.996166,0.534697646,
Australia,-28.0167,153.4,0.660142494,
Alaska,63.588753,-154.493062,0.430726128,
Andorra,42.546245,1.601554,0.999500879,
Uzbekistan,41.377491,64.585262,0.804037991,
Dominican Republic,18.7357,-70.1627,0.810577808,
Bangladesh,23.684994,90.356331,0.028068965,
Yemen,15.552727,48.516388,0.995815813,
Gambia,13.443182,-15.310139,0.564038675,
Martinique,14.6415,-61.0242,0.153461307,
Oman,21.512583,55.923255,0.492417563,
Maine,45.253783,-69.445469,0.097872562,
Israel,31,35,0.027294153,
Ghana,7.946527,-1.023194,0.213379658,
Belgium,50.503887,4.469936,0.47777722,
Jersey,49.214439,-2.13125,0.047323879,
Brunei,4.5353,114.7277,0.675914715,
Oregon,43.804133,-120.554201,0.420823746,
Liechtenstein,47.14,9.55,0.280984334,
Novosibirsk,55.0333,82.9167,0.663218331,Russia
Kansas,39.011902,-98.484246,0.264314444,
Rhode Island,41.580095,-71.477429,0.229255712,
Sri Lanka,7.873054,80.771797,0.558648142,
Khanty-Mansiysk,61,69,0.146710099,Russia
Suriname,3.919305,-56.027783,0.55511613,
Syria,34.802075,38.996815,0.27931994,
Kyrgyzstan,41.20438,74.766098,0.790477006,
North Dakota,47.551493,-101.002012,0.818941108,
Izhevsk,56.85,53.2167,0.095310123,Russia
Slovenia,46.1512,14.9955,0.634497736,
New Hampshire,43.193852,-71.572395,0.983034731,
Palestinian Territories,31.952162,35.233154,0.513780983,
Saransk,54.1833,45.1833,0.443082327,Russia
United Arab Emirates,23.424076,53.847818,0.735297147,
Texas,31.968599,-99.901813,0.306940273,
Norway,60.472,8.4689,0.476543579,
Guernsey,49.465691,-2.585278,0.929287956,
Indonesia,-0.7893,113.9213,0.188138965,
Kemerovo,55.3333,86.0667,0.346613377,Russia
Kaliningrad,54.7167,20.5,0.370373542,Russia
Kenya,-0.023559,37.906193,0.511424754,
Austria,47.5162,14.5501,0.515955482,
Canada,49.2827,-123.1207,0.992716385,
Latvia,56.8796,24.6032,0.545002328,
Massachusetts,42.407211,-71.382437,0.962782664,
Comoros,-11.875001,43.872219,0.880813646,
Connecticut,41.603221,-73.087749,0.280913836,
Samoa,-13.759029,-172.104629,0.024706009,
Mongolia,46.862496,103.846656,0.353358707,
Vanuatu,-15.376706,166.959158,0.418213245,
Brunei,4.535277,114.727669,0.892025034,
Pennsylvania,41.203322,-77.194525,0.491886982,
Belgium,50.8333,4,0.307494242,
Belgorod,50.6,36.6,0.121763811,Russia
Chile,-35.675147,-71.542969,0.960723535,
Kuwait,29.31166,47.481766,0.45463194,
Guyana,4.860416,-58.93018,0.965215203,
Saint Helena,-24.143474,-10.030696,0.244229712,
Palau,7.51498,134.58252,0.763683007,
Cambodia,11.55,104.9167,0.532278356,
Virginia,37.431573,-78.656894,0.215512886,
Botswana,-22.328474,24.684866,0.80095571,
Jordan,30.585164,36.238414,0.921820202,
Vologda,59.2167,39.9,0.796554083,Russia
Lebanon,33.854721,35.862285,0.463100754,
Egypt,26.820553,30.802498,0.662101809,
Bahamas,25.03428,-77.39628,0.422001348,
Iran,32.427908,53.688046,0.519191659,
Kurgan,55.4408,65.3411,0.69326267,Russia
Lithuania,55.169438,23.881275,0.733459633,
Cocos [Keeling] Islands,-12.164165,96.870956,0.79542721,
Trinidad and Tobago,10.691803,-61.222503,0.604561855,
Tomsk,56.4886,84.9522,0.863004759,Russia
Romania,45.943161,24.96676,0.230492719,
Bryansk,53.25,34.3667,0.412940921,Russia
Costa Rica,9.7489,-83.7534,0.60255776,
United Kingdom,55.378051,-3.435973,0.564791447,
Luxembourg,49.8153,6.1296,0.058149657,
Ivanovo,57,41,0.995803734,Russia
Lithuania,55.1694,23.8813,0.577182629,
Faroe Islands,61.892635,-6.911806,0.464041541,
French Guiana,3.9339,-53.1258,0.141932257,
Arkansas,35.20105,-91.831833,0.012937601,
Honduras,15.199999,-86.241905,0.897832585,
Kursk,51.7372,36.1872,0.14558031,Russia
Marshall Islands,7.131474,171.184478,0.322618141,
Tennessee,35.517491,-86.580447,0.247656402,
Nepal,28.1667,84.25,0.466979145,
Philippines,13,122,0.733876796,
San Marino,43.9424,12.4578,0.727370007,
Libya,26.3351,17.228331,0.857410358,
Bolivia,-16.290154,-63.588653,0.554420184,
Tunisia,33.886917,9.537499,0.515578172,
Singapore,1.352083,103.819836,0.18615015,
North Macedonia,41.6086,21.7453,0.898363709,
Tunisia,34,9,0.400336098,
Venezuela,6.42375,-66.58973,0.510506243,
Illinois,40.633125,-89.398528,0.977044677,
Czech Republic,49.817492,15.472962,0.406400325,
Nar’yan-Mar,67.6378,53.0067,0.884105315,Russia
Magadan,59.5667,150.8,0.171383841,Russia
Thailand,15,101,0.30284798,
Kirov,58.6,49.65,0.832522466,Russia
Ukraine,48.379433,31.16558,0.05094167,
Mayotte,-12.8275,45.166244,0.287804205,
Saudi Arabia,24,45,0.598808641,
Wisconsin,43.78444,-88.787868,0.119770708,
Salekhard,66.5333,66.6333,0.803478678,Russia
Belize,17.189877,-88.49765,0.756072439,
Yakutsk,62.0272,129.7319,0.519501025,Russia
Armenia,40.0691,45.0382,0.322222166,
Puerto Rico,18.220833,-66.590149,0.11391013,
New Mexico,34.97273,-105.032363,0.427629608,
Estonia,58.595272,25.013607,0.807017707,
Kyzyl,51.7167,94.45,0.531843148,Russia
Ecuador,-1.8312,-78.1834,0.4658864,
Martinique,14.641528,-61.024174,0.840497784,
Netherlands,52.132633,5.291266,0.790510898,
British Virgin Islands,18.420695,-64.639968,0.654211109,
El Salvador,13.794185,-88.89653,0.45021254,
French Southern Territories,-49.280366,69.348557,0.806122503,
Australia,-33.8688,151.2093,0.26337181,
Turkey,38.963745,35.243322,0.776783394,
Delaware,38.910832,-75.52767,0.050118682,
American Samoa,-14.270972,-170.132217,0.096889362,
Senegal,14.4974,-14.4524,0.186198151,
Ulan-Ude,51.8272,107.6064,0.107694996,Russia
Iowa,41.878003,-93.097702,0.211334943,
Turkmenistan,38.969719,59.556278,0.437419075,
Penza,53.2,45,0.772714768,Russia
Tuvalu,-7.109535,177.64933,0.880321759,
Monaco,43.750298,7.412841,0.66925131,
Saudi Arabia,23.885942,45.079162,0.340860104,
Ireland,53.41291,-8.24389,0.294490536,
Malta,35.9375,14.3754,0.696557475,
Abakan,53.7167,91.4167,0.94265113,Russia
Bosnia and Herzegovina,43.9159,17.6791,0.052377871,
Lebanon,33.8547,35.8623,0.578128229,
Ufa,54.7333,55.9667,0.616122188,Russia
Timor-Leste,-8.874217,125.727539,0.446465331,
Australia,35.4437,139.638,0.879022395,
Chita,52.0333,113.5,0.458527735,Russia
Malaysia,2.5,112.5,0.369900171,
Falkland Islands [Islas Malvinas],-51.796253,-59.523613,0.733849681,
Benin,9.30769,2.315834,0.28035186,
Guatemala,15.783471,-90.230759,0.234480803,
Malawi,-13.254308,34.301525,0.046721683,
Bulgaria,42.7339,25.4858,0.460079893,
Mississippi,32.354668,-89.398528,0.060255229,
Vladikavkaz,43.04,44.6775,0.177506954,Russia
Nizhniy Novgorod,56.3269,44.0075,0.504319923,Russia
Haiti,18.971187,-72.285215,0.509941032,
Belarus,53.709807,27.953389,0.188219152,
Cuba,21.521757,-77.781167,0.380112651,
Cayman Islands,19.513469,-80.566956,0.243432234,
New Zealand,-40.9006,174.886,0.546536066,
Estonia,58.5953,25.0136,0.90173496,
Cameroon,3.848,11.5021,0.637201355,
Hong Kong,22.396428,114.109497,0.353191252,
Hungary,47.1625,19.5033,0.032493135,
Nalchik,43.4833,43.6167,0.713838083,Russia
Monaco,43.7333,7.4167,0.736678686,
Bhutan,27.514162,90.433601,0.88882159,
India,20.593684,78.96288,0.799526465,
Portugal,39.399872,-8.224454,0.646853245,
Blagoveshchensk,50.2578,127.5364,0.048460362,Russia
Krasnodar,45.0333,38.9833,0.06456025,Russia
Panama,8.537981,-80.782127,0.982331577,
Colombia,4.5709,-74.2973,0.285372822,
South Carolina,33.836081,-81.163725,0.11663435,
Malaysia,4.210484,101.975766,0.871957188,
Birobidzhan,48.7833,132.9333,0.300529389,Russia
Congo [Republic],-0.228021,15.827659,0.738671497,
India,21,78,0.938584988,
French Guiana,3.933889,-53.125782,0.303738793,
Montenegro,42.708678,19.37439,0.3251364,
Liberia,6.428055,-9.429499,0.211809036,
Oman,21,57,0.021035741,
Cape Verde,16.002082,-24.013197,0.946116715,
Guinea-Bissau,11.803749,-15.180413,0.329824355,
Nigeria,9.082,8.6753,0.321779099,
Svalbard and Jan Mayen,77.553604,23.670272,0.340857107,
Azerbaijan,40.1431,47.5769,0.055095812,
Colorado,39.550051,-105.782067,0.591468713,
Perm,58.0139,56.2489,0.034833361,Russia
Nicaragua,12.865416,-85.207229,0.92632914,
Gorno-Altaysk,51.96,85.96,0.959755103,Russia
New Caledonia,-20.904305,165.618042,0.901130236,
Serbia,44.0165,21.0059,0.515045528,
Denmark,56.26392,9.501785,0.662771803,
French Polynesia,-17.679742,-149.406843,0.138896712,
Italy,43,12,0.355856236,
Romania,45.9432,24.9668,0.905023909,
Greenland,71.706936,-42.604303,0.743288927,
South Africa,-30.559482,22.937506,0.005342485,
Latvia,56.879635,24.603189,0.533752679,
Netherlands Antilles,12.226079,-69.060087,0.655796039,
Puerto Rico,18.220833,-66.590149,0.524231898,
Ohio,40.417287,-82.907123,0.324258846,
Thailand,15.870032,100.992541,0.275929929,
Mauritania,21.00789,-10.940835,0.330777011,
Orël,52.9686,36.0694,0.813318068,Russia
Tver,56.8578,35.9219,0.727382433,Russia
Albania,41.1533,20.1683,0.961195156,
Utah,39.32098,-111.093731,0.252554147,
Nebraska,41.492537,-99.901813,0.389572514,
Canada,53.9333,-116.5765,0.989799412,
Chile,-35.6751,-71.543,0.374763105,
Michigan,44.314844,-85.602364,0.123288747,
Burundi,-3.373056,29.918886,0.357408933,
Finland,64,26,0.894026878,
Vladimir,56.1286,40.4058,0.310441917,Russia
North Korea,40.339852,127.510093,0.343871696,
Cheboksary,56.1333,47.25,0.575408777,Russia
Uruguay,-32.522779,-55.765835,0.867500491,
Velikiy Novgorod,58.521,31.2758,0.146906619,Russia
Tokelau,-8.967363,-171.855881,0.145167537,
Samara,53.1833,50.1167,0.386652475,Russia
Ukraine,48.3794,31.1656,0.656727575,
Krasnoyarsk,56.0167,92.8667,0.577096424,Russia
Croatia,45.1,15.2,0.82982713,
Orenburg,51.7667,55.1,0.442575691,Russia
United States,37.09024,-95.712891,0.763262114,
Papua New Guinea,-6.314993,143.95555,0.604981416,
Nauru,-0.522778,166.931503,0.52062968,
Solomon Islands,-9.64571,160.156194,0.324193801,
District of Columbia,38.905985,-77.033418,0.362602298,
Netherlands,52.1326,5.2913,0.494419509,
Vermont,44.558803,-72.577841,0.301587608,
Kentucky,37.839333,-84.270018,0.30598467,
Azerbaijan,40.143105,47.576927,0.500658898,
Hungary,47.162494,19.503304,0.946893588,
Sudan,12.862807,30.217636,0.258577932,
Germany,51.165691,10.451526,0.206786708,
Germany,51,9,0.029603471,
Petrozavodsk,61.7833,34.35,0.373669231,Russia
San Marino,43.94236,12.457777,0.946772525,
Arizona,34.048928,-111.093731,0.845768155,
Indonesia,-0.789275,113.921327,0.79792785,
Afghanistan,33.93911,67.709953,0.520346235,
Namibia,-22.95764,18.49041,0.84333159,
Taiwan,23.69781,120.960515,0.296081925,
Gibraltar,36.137741,-5.345374,0.889208735,
