cluster,person,list1,list2,organize,map,x,y,perc
51,"3,33","1,16,47","1,38","16,21,28,33",1,1.813075704,1.880942939,0.25
52,17,"17,21,40","28,17","45,24","4,10,19,21",0.802722204,1.658722192,0.333333337
53,45,"45,19","26,45,47","13,41","2,10,28",0.431071331,1.831075948,0.333333337
54,45,"45,19","1,40,45","3,24","2,10,28",0.664985348,0.810823049,0.333333337
55,45,"45,19","26,27,40,45","24,41","2,10,28",1.905766607,0.208157517,0.5
56,45,"45,19","27,41,45","12,9","2,10,28",1.868486896,-0.132468893,0.25
57,45,"45,19","24,27,45","9,41","2,10,28",2.735712499,0.415153782,0.25
58,9,"9,17","9,14,44","43,4","4,10,17",2.17111214,1.955790356,0.333333337
59,9,"9,17","9,13,27","6,27","4,10,17",0.509311481,0.161773689,0.25
60,9,"9,28","9,14,44","43,4","4,10,38,44",0.860592978,0.756241773,0.333333337
61,9,"9,28","9,13,27","6,27","4,10,38,44",1.987343481,0.955800896,0.333333337
62,9,"9,45","9,14,44","43,4","4,10,34",1.54082641,-0.362449138,0.333333337
63,9,"9,45","9,13,27","6,27","4,10,34",2.5149174,1.95,0.5
64,45,"9,45","26,45,47","13,41","4,10,34",1.023428578,1.396114267,0.333333337
65,45,"9,45","1,40,45","3,24","4,10,34",2.158604182,0.823539561,0.333333337
66,45,"9,45","26,27,40,45","24,41","4,10,34",1.769993233,0.416899377,0.333333337
67,45,"9,45","27,41,45","12,9","4,10,34",1.232148914,0.617414286,0.5
68,45,"9,45","24,27,45","9,41","4,10,34",0.097241557,1.300997377,0.25
69,30,"30,19","1,30,35","48,40","10,26,29",-0.419606563,-0.239956869,0.333333337
70,25,"25,19","25,39,48","48,47","10,18,45",0.424329226,1.342845998,0.25
71,"40,21","40,21","17,21,40","45,24","14,32,39",1.9,0.7,0.333333337
72,40,"40,21","1,40,45","3,24","14,32,39",1.3,0.4,0.333333337
73,40,"40,21","26,27,40,45","24,41","14,32,39",,,
74,21,"40,21","10,21,47","29,27","14,32,39",,,
75,41,"41,9","27,39,41","12,47","11,34,44",,,
76,41,"41,9","27,41,45","12,9","11,34,44",,,
77,9,"41,9","9,14,44","43,4","11,34,44",,,
78,9,"41,9","9,13,27","6,27","11,34,44",,,
79,41,"41,32","27,39,41","12,47","11,13,45",,,
80,41,"41,32","27,41,45","12,9","11,13,45",,,
81,41,"41,25","27,39,41","12,47","13,44,45",,,
82,41,"41,25","27,41,45","12,9","13,44,45",,,
83,25,"41,25","25,39,48","48,47","13,44,45",,,
84,21,"15,21","10,21,47","29,27","7,17,39",,,
85,21,"15,21","17,21,40","45,24","7,17,39",,,
86,48,"48,19","25,39,48","48,47","2,28,29",,,
87,48,"48,45","25,39,48","48,47","2,28,34",,,
88,45,"48,45","1,40,45","3,24","2,28,29",,,
89,45,"48,45","26,27,40,45","24,41","2,28,29",,,
90,45,"48,45","27,41,45","12,9","2,28,29",,,
91,45,"48,45","24,27,45","9,41","2,28,29",,,
92,45,"48,45","26,45,47","13,41","2,28,29",,,
,27,"27,19","24,27,47","14,41","26,28,41",,,
,27,"27,19","9,13,27","6,27","26,28,41",,,
,27,"27,19","26,27,40,45","24,41","26,28,41",,,
,27,"27,19","27,39,41","12,47","26,28,41",,,
,27,"27,19","27,41,45","12,9","26,28,41",,,
,27,"27,19","24,27,45","9,41","26,28,41",,,
