mg,mo,gm,go,om,og
"0,1,16,22,23,24,26,32,42,45,46","7,8,13,15,19,25,28,32,33,34,40,45,47,48","0,1,7,14,26,32","7,10,17,20,21,22,25,28,41,43","1,4,13,23,26,27,29,33,37,39,47","0,1,3,14,19,24,26,37,41,48"
"6,7,12,13,14,16,26,34,36,47","6,7,9,15,29,33,43","0,3,5,7,9,14,40,41,47","1,4,13,16,22,29,34,39,40,48","1,16,17,23,25,29,33,35,42,44,47","7,11,22,27,28,33,39,41,44,47"
"2,16,20,23,26,34,42,43,47","23,24,28,36,46","7,8,23,24,26,28,36,41,42,48","10,11,42,43,48","0,3,9,10,13,14,16,17,25,26,30,31,35,42,46,48","2,12,19,20,22,28,30,36,37,38,39,42,44,45"
"3,7,8,9,10,17,20,23,27,33,35,41,45,46","4,11,12,14,15,16,18,25,27,38,45,47","1,3,4,12,13,14,15,20,25,29,32,43","3,6,8,23,28,41,42","1,2,5,8,16,18,21,34,36,37","0,6,10,11,14,20,23,30,34,38"
"1,2,3,6,7,19,21,28,32,33,34,36,41,42","2,5,6,7,9,14,15,18,19,30,33,35,37,40,44","0,5,7,16,24,25,29,32,34,37,39","2,8,17,23,24,25,29,40","11,12,19,25,32,33,37,38,39,43,45","8,9,13,17,21,23,34,35,39,45,46"
"2,7,21,33,45","1,6,16,20,22,23,37,44,47","4,8,9,10,29,32,34,35,37,42,45","3,19,28,43","1,3,8,16,17,25,34,37,38,39","3,6,10,11,26,27,34,48"
"21,22,29,34","9,17,20,23,27,29,30,40,42,46","1,2,5,11,17,24,26,33,39,42","2,3,5,7,8,10,13,15,23,24,40,43,49","11,13,17,28,29,33,39,42","0,11,18,23,33,35,36,40,43,44"
"2,6,9,16,24,29,39,45","1,3,25,30,34,39","0,5,6,7,9,15,16,21,34,40","0,4,11,15,16,20,22,37,39,42,44,47","2,6,18,19,23,24,30,34,35,39,41,44","0,11,12,13,20,21,39,41,44,47"
"0,3,20,21,26,29,36,38","6,9,16,21,23,28,29,31,37,46,47","0,6,17,18,19,21,28,29,31,35,44,45","1,9,10,11,17,20,27,29,30,40,42,44","3,7,9,21,25,26,27,32,36,37,47","4,5,6,13,22,24,25,29,35,36,47"
"0,2,9,12,23,25,26,30,38,48","5,30,31,32,39,44,47","3,4,5,8,13,19,24,39,42,45,48","6,14,15,21,26,44,48","18,27,31,36,38,39,41,42,44","1,4,5,11,13,14,20,26,34,35,43"
"3,6,12,15,27,28,29,33,35,36,38,47,48","0,6,8,12,13,14,20,27,29,33,38,40,48","0,2,5,13,15,16,22,27,34,37,43,47","2,6,16,17,19,39","0,10,15,18,19,21,25,27,32,41,47","12,16,17,19,32,35,40,44,46,47"
"0,15,17,19,22,24,37,48","1,4,5,9,11,12,20,28,33,34,37,39","1,9,13,20,24,33,34","12,13,21,27,29,36,37,47","3,5,7,10,15,29,30,35,48","1,3,7,11,17,19,26,30,35,39,46"
"5,7,16,17,30,33,35,39,42,47","0,2,3,8,9,14,15,17,18,21,23,25,29,30,38,48","5,9,22,26,28,39,42,48","3,4,21,33,38","2,6,9,13,16,20,25,26,29,35,36,43","1,10,13,17,26,27,39,42,47,48"
"0,3,13,15,19,25,26,42,43,48","13,15,21,25,26,43","6,10,13,14,15,21,22,26,34,39,44","1,4,5,13,18,22,24,25,26,37,42","5,26,35,36,39,41","22,26,29,30,46"
"1,9,10,23,29,30,31,34,35,39,42,44,45,46","6,12,13,21,22,23,28,34,36,45","1,16,23,31,32,37,39,43,46,47,48","0,7,10,14,18,25,32,40,42,43,44,46,48","3,10,16,19,23,32,34,41,48","0,3,10,21,24,32,34,42,43,47,48"
"0,3,12,15,21,25,30,37,44","0,1,4,19,32,34,36,37,41","3,4,7,10,17,23,30,33,40","0,1,4,6,14,15,29,35,37,38,46","4,7,13,15,21,24,27,39,41,43,46","0,3,6,9,13,16,18,29,33,35,44"
"1,2,5,16,17,18,21,33,34,36","13,14,19,24,25,32,34,45","4,5,6,7,9,19,20,21,23,27,43,44,48","2,11,12,21,26,28,32,38,45,48","14,19,21,23,25,37,39,46","4,8,14,17,21,24,28,30,31"
"2,3,28,30,35,36,37,41,43,47","1,2,9,11,15,20,24,34,35","1,3,22,25,27,28,30,32,34,43","5,7,15,16,24,26,29,43,44,47","3,4,9,17,19,20,22,25,36,39","2,6,21,35"
"3,12,21,27,35,36,38,43,44","3,7,9,12,15,22,37,39,41,47,48","0,6,11,27,38,39,43","7,29,32,34,42","5,7,10,21,22,33,36,37,41,43","0,9,11,33,37,40,44,45"
"9,10,13,16,17,18,27,30,44","0,2,10,17,21,23,27,42","3,5,8,13,17,40,42,43","1,2,11,23,27,39,42,44","1,10,13,22,28,29,34,37,40,41,47","3,7,27,29,31,37,40,43,44"
"19,24,28,34,37","7,8,13,14,17,19,31,33,38","2,6,8,11,16,17,18,23,25,29,36,47","8,14,19,28,31,43,49","6,13,14,17,23,24,33,42,46","0,1,2,25,34,36,40,44,46"
"3,10,11,17,18,20,23,24,26,30,37,45","0,3,16,18,20,27,32,36,41,47,48","0,2,6,10,14,15,17,19,27,29,33,35,43,44,48","5,16,17,18,22,27,33,34,35","0,3,4,10,11,13,20,24,27,28,29,30,35,46,48","10,14,31,34,38,41,46,47"
"18,21,34,35,46,47,48","1,5,9,11,14,15,20,24,25,26,34,35,37,41,46,47","0,11,12,16,23,25,27,30,31,35,42,45","7,17,19,21,22,23,24,28,30,39,44,45","1,17,30,35,37,41,43,44","0,3,4,8,12,28,34,44"
"8,15,33,46","0,2,16,21,22,25,26,30,31,40,47","2,5,10,12,14,17,21,23,29,30,31,41,46","11,15,19,21,33,37,39,42,45,48","1,3,8,10,12,15,27,28,34,40,45","4,7,24,42,43"
"4,6,17,18,23,27,38","1,4,5,6,12,13,16,17,18,21,29,31,32,35,38,39,40,43","1,9,12,24,28,30,33,34,42,48","13,15,31,32,37,39,44,45,46,47,49","0,9,17,18,21,24,28,31,35,47,48","5,6,9,20,24,26,28,36,37,40,41,46,47"
"5,31,39","6,8,17,18,22,38,40","6,11,12,21,22,23,31,37,39","5,6,12,15,16,34","2,12,16,23,25,33,37,38,42,43","4,8,25,28,29,43,46"
"3,8,17,19,22,25,26,27,31,38,40,42","0,4,12,13,17,18,19,20,22,26,28,29,30,41,43,44,47","0,3,4,9,20,25,27,38,44","1,3,7,14,15,17,20,24,25,40,42,46,48","2,4,6,9,11,20,22,24,31,37,47","0,3,7,11,14,20,23,32,35,36,37,41"
"0,1,2,14,20,28,32,41,43,48","0,9,10,32,36","6,9,39,44","5,11,19,23,31,32,33,37,44,45,47,49","1,2,13,17,19,23,36,37,38,44,46,48","1,4,10,12,14,17,19,21,27,39,42,47"
"6,11,14,15,36,46","10,20,22,23,26,27,28,31,32,35,43,47","2,3,4,6,9,11,12,16,17,30,40,44,45","4,8,10,11,13,14,20,34,37,39,41,44,47","1,3,4,8,11,28,31,34,35,39,43","4,6,12,13,16,41,43"
"0,1,9,12,15,18,19,22,25,32,35,37,42,44,46","3,8,9,14,15,19,22,33,38,46,48","8,13,15,17,25,26,27,39,42,43","10,15,25,27,36,40,48","0,6,9,19,32","0,1,15,16,20,21,26,27,31,32,36,39,43,46"
"3,5,7,9,11,16,23,27,29,30,31,32,34,42","9,12,17,25,28,31,35,38,41,43,44","5,7,12,15,26,30,31,40","1,4,5,10,11,19,22,27,32,36,38,41,42,47","3,7,10,14,26,37,39,41,43,44,48","4,13,15,18,19,27,30,33"
"1,5,7,8,21,26,29,34,39,40,41,46","0,14,20,22,35,40,43,46","27,28,31,32,42","8,14,15,19,20,23,28,31,32,33,35","0,3,12,17,18,22,39,43,46","0,2,11,12,20,21,22,27,30,32,35,37,40,41,47"
"0,18,21,22,35,41,46","0,3,10,17,36,45,47","2,13,16,18,20,27,34,48","10,15,17,31,49","0,7,8,13,16,27,29,45","0,4,5,6,29,35,36,37,40,46,47,48"
"4,5,27,36","15,28,29,33,34,40,44","4,6,11,13,16,27,35,36,41,42,44,45","2,5,9,17,23,24,26,33,34,37,38,42,45,47","4,7,15,19,21,35,42,44","0,7,11,27,28,37,39"
"0,3,5,10,14,23,27,33","5,13,14,21,23,32,37,39","11,12,14,15,23,25,30,35,48","1,4,11,14,20,21,23,25,27,34,37,40,44,45","1,2,13,16,18,21,22,31,34,35,36,39,41,45","3,8,10,20,24,30,37,40,41,43,46,48"
"3,6,9,15,22,25,27,29,34,37,45,47","4,9,10,15,24,27,34,37,40,43","11,22,23,24,26,35,40","0,1,3,4,9,13,18,21,22,25,27,45,47,49","7,8,11,13,23,25,31,34,42","3,4,14,15,22,27,29,36,39,42"
"3,5,6,7,9,10,12,13,14,17,19,26,38,41,48","0,2,3,12,16,19,21,33,37","11,16,18,19,32,39,45,46,47","0,3,6,10,17,19,23,25,33,37,44,46","0,2,33","0,5,8,19,33,37,40,45,48"
