mg,mo,gm,go,om,og
"3,4,7,10,17,22,28,33,40,45,46,47","6,9,10,11,27,33,38,41,48","17,21,28,37,38,44","23,25,27,29,36,43","4,12,14,18,25,27,30,35,37,38,45,46","7,8,16,22,27,35,44"
"2,7,10,13,17,19,23,36,44","3,4,11,18,24,29,30,33,34,35,40,41,48","1,7,16,22,30,39,41,44","1,4,6,8,13,32,34,49","1,16,18,24,25,29,31,34,45,48,49","2,4,8,23,28,35,44,46"
"0,3,5,7,8,13,15,20,21,22,29,30,35,43,44","3,8,13,14,20,22,26,28,34","4,12,15,17,23,26,30,31,32,34,36,39,41,46","5,6,12,15,21,26,44,45","0,12,15,18,23,29,31,42,44,45","3,7,16,24,35,44,46"
"2,3,7,16,20,23,30,40,44,45,48","1,3,17,18,29,30,34,37,38,41,45","0,16,17,20,22,26,27,34,47,49","0,3,5,10,15,22,23,33,38,42,47","1,3,8,12,15,20,21,22,23,33,36,39,46,48","2,6,18,24,25,26,40,46"
"11,12,15,20,25,30,34,37,39,44","9,23,24,33,41","6,7,9,18,23,35,38,41,44","2,4,5,12,13,19,20,21,26,32,33,40","3,17,18,33,39,40,45,46","0,4,5,10,12,15,26,29,32,35,37,40,42,46,48"
"2,5,8,9,14,16,19,20,37,40,43","20,24,31,32,33,36,37,43","1,3,4,11,13,15,19,21,22,24,25,28,36,40","12,20,24,33,47,48,49","5,12,17,18,21,28,29,32,33,35,48","1,2,10,18,19,21,23,24,31,32,33,41,42,45"
"8,20,21,30,31,35,40,42,45,46","0,2,3,5,10,18,21,25,26,29,42,49","2,9,15,22,25,26,32,39,40","1,4,5,6,11,18,22,36,40,41","1,2,13,18,25,29,30,31,35,39","0,12,14,19,23,26,29,37,42"
"0,3,4,7,10,17,19,32,44","6,16,20,28,33,34,37,39,47","2,9,10,12,15,16,17,20,21,30,34,42","10,19,20,23,28,29,30,32,46","0,2,4,13,14,16,17,18,20,29,41,42,47","1,9,12,25,45"
"2,5,19,25,30,33,47","4,7,8,11,12,13,18,20,21,27,31,36,38,47,48","0,9,14,15,16,25,29,42,43","21,24,36,39,45,46,47","0,4,5,6,8,33,36,37","3,7,17,20,21,22,24,28,34,36,37,42,47,48"
"10,15,24,25,28,38,40,43,44","6,8,15,28,36","2,17,20,21,26,32,33,41,44","1,4,10,16,32,34,36,39,44,49","8,9,10,18,25,31,33,35,38,39,43,47","0,2,4,6,11,16,17,18,23,43"
"0,2,9,11,20,24,28,32,38,46","3,7,8,9,10,20,28,37,45,49","0,23,25,37,38,43","9,10,20,22,43","6,7,9,14,17,20,23,26,28,31,36,41,46,49","3,8,31,39,44,46,47"
"1,8,9,14,16,22,29,30,34,43,47","3,6,11,15,19,22,24,31,32,34,37,48","10,12,27,32,41,47","4,12,13,16,38,40,41","2,6,9,15,17,35,44,45","3,4,7,13,36,37,44,49"
"3,7,15,17,33,34","2,3,7,8,9,12,21,23,26,32,41,42,44","2,12,13,17,18,20,25,28,31,33,34,37,44","8,10,19,24,31,32,42,45","0,4,7,10,11,13,16,21,29,41,49","3,4,5,7,9,12,20,27,32,34,39,48,49"
"0,12,19,20,23,24,27,29,30,32,37,39,42,46,47,49","4,5,10,15,16,19,22,35,38,40,43,47,48","3,6,9,45,47","0,1,12,16,18,23,33,41,42,44","2,3,10,16,18,28,29,31,32,40,46,49","0,20,24,34,39,41,47"
"7,10,11,20,35,36,48","0,3,13,14,22,25,26,30,35,47","13,34,41","1,19,27,32,33,34,36,44,46","3,4,6,11,13,34,40,49","3,6,14,15,16,19,21,23,31,40,41,43,45"
"1,8,21,23,26,36,38,46","3,5,10,25,26,37,45","2,10,21,23,30,33,37,39,48,49","12,15,18,23,26,37,42,43,47","6,14,15,24,26,33,41,49","0,3,4,8,24,26,28,38,43,48"
"1,14,18,24,28,29,32,37,40,45","0,6,10,15,30,39,48","1,11,12,15,24,29,30,31,32,35,37","2,5,7,8,9,14,19,22,23,28,29,30,38,39,47","9,16,17,19,40,45","4,16,17,19,21,23,25,27,30,37,41,42,49"
"15,25,26,27,41","13,20,23,28,29,30,32,39,44,45","0,11,15,17,19,23,25,28,31,34,44,46","4,5,9,17,18,23,24,33,35,42","1,9,11,18,20,27,31,38,43,45","9,10,15,20,23,24,30,36,40"
"0,2,3,17,22,30,45,47,49","6,9,24,28,31,32,38,41,46","2,4,7,14,15,21,26,28,34,38,41,43,48,49","0,4,7,15,16,19,24,27,29,30,31,32,38,46","1,11,15,19,23,27,46","1,3,4,10,11,12,16,19,21,26,35,36,42,46,47,48,49"
"0,3,4,5,9,10,14,24,25,26,27,31,39,41,47,48","0,11,17,35,37","5,12,13,14,16,20,23,25,26,28,36,39,41,46,47,49","13,15,18,19,36,38,41,46,49","2,4,8,16,24,35,36,41,42,48","5,11,16,17,23,27,31,33,36,43,44"
"1,13,14,17,21,26,43,46,49","0,2,16,19,22,26,27,29,31,33,47","24,25,27,31,42,47","0,5,6,11,16,17,19,22,24,32,36,40,43,46,49","0,1,4,6,9,12,15,18,19,21,28,29,36,39,41,44","3,4,16,17,33,49"
"5,11,12,16,22,31,43,46,47","5,7,13,21,22,29,38,40,41,42,43","0,6,10,14,16,17,19,21,41,46,48","4,7,11,13,14,16,20,22,26,27,39,40,44,46,48","2,5,14,18,22,34,38","4,6,7,10,11,24,25,27,29,33,37,47,48"
