mg,mo,gm,go,om,og
"0,2,3,11,35,39,40,42","1,15,20,29,37,48","11,16,17,18,27,31,33,47","2,6,7,10,22,25,27,33,40","0,3,4,10,12,16,22,25,36,38","0,8,16,18,20,22,26,30,31,34,45"
"1,10,13,19,20,23,25,27,33,38,40,49","1,5,10,15,22,23,24,26,27,30,47","0,2,5,12,14,21,22,23,25,26,27,33,37,44,47","2,9,22,28,46","0,7,14,16,17,21,38,41","3,23,24,31,32,36,38,42,46,48"
"8,9,10,12,25,29,45","5,12,13,22,28,38,39,46","4,6,7,11,23,30,31,36,37,42,43,47,49","8,12,24,26,38,39,45","2,3,6,10,15,17,18,25,28,29,34,40,43,48","0,1,6,9,16,26,29,31,32,39,49"
"1,8,9,17,23,24,25,29,30,34,40,44,46,47,48,49","0,6,10,11,28,35,38,42,47","8,9,10,17,22,25,28,31,39,42","3,5,17,20,35,43,46,47","1,18,22,25,46","1,8,15,24"
"0,16,18,23,27,29,31,39,40,42,44,45,46","3,9,10,14,16,21,26,28,34,36,38,40,43,47,49","3,18,21,39,46","10,11,15,22,46","1,3,7,10,22,26,27,28,35,38,47,49","1,11,12,13,16,19,25,32,36,38,43,46"
"1,3,18,19,31,37,44","6,9,10,12,21,23,26,30,31","1,3,7,9,10,11,12,15,17,26,27,28,31,39,43,44","3,8,11,12,15,16,20,22,23,26,35,38,39,48","3,4,6,23,24,35,41","8,16,30,32,35,41,47,48,49"
"2,4,5,18,26,33,47,48,49","3,5,6,10,14,15,22,23,35,42,43","0,2,3,9,14,18,27,34","1,9,10,12,14,17,24,29,32,38,41","0,2,4,10,14,16,21,23,25,29,42","6,8,13,16,19,34,35"
"0,1,21,23,24,26,27,29,39","0,13,31,33,36,41,44","0,11,15,17,28,29,48","7,11,12,17,23,24,25,26,33,35,38,44,46","3,8,10,17,20,23,29,31,33,41,44,47","2,4,5,6,7,10,15,19,21,33,37,44,47"
"4,6,8,9,45","0,3,4,17,20,34,35,36,37,38,41,42,44,48","6,13,35,36,43","3,4,11,12,16,23,25,26,28,29,35,38,42","3,22,33,37,40","0,5,10,14,16,19,20,30,45,47,49"
"3,9,13,14,15,21,24,25,38,44,47,49","10,13,17,31,32,33,35,36,48","0,1,25,30,42,44,47","0,3,22,31,36,44,48,49","1,7,9,13,31,33,36,37,40,42,43,47,49","1,4,10,19,23,24,31,34,35,44"
"6,8,13,16,18,20,30,43","8,13,14,15,16,18,20,26,34,35,42,49","0,9,22,27,36,39,40,47","2,7,8,9,15,22,23,24,30,33,36,40,44,46,49","1,2,3,10,14,28,32,34,35,40","0,2,6,8,16,22,40,42"
"0,11,13,20,32,38,40,44,46,49","0,3,6,23,28,29,34,36,37,39","2,3,12,14,17,21,24,37,44,45,49","1,2,4,10,11,12,13,15,29,30,33,36,46","2,4,5,8,14,27,30,32,33,34,36,45,46,48","9,11,18,20,23,27,29,31,32,39,42,43,48"
"3,4,8,17,20,26,32,34,37,44","3,12,18,19,24,33,35,43,44,47","2,3,5,6,7,22,39","9,16,23,25,28,49","6,7,14,15,16,20,23,28,31,32,33,35,43,46","10,12,21,33,34,35,46,47,48,49"
"2,9,23,25,26,35,42,45,47","1,4,15,16,22,32,33,38,45,49","2,9,10,13,23,29,36,44","0,9,16,18,31,45,46,47","7,12,17,19,20,21,24,32,35,38,49","1,3,4,6,23,38,39,47"
"3,15,17","1,9,12,19,22,24,25,28,37,39,40,43,44","0,5,11,12,14,19,21,25,33,35,45,46","4,7,9,10,12,18,21,25,28,37,43","6,8,12,14,20,21,26,27,28,32,37,40,49","3,8,10,12,14,16,19,21,26,29,30,31,32,42"
"0,1,8,12,15,17,27,28,29,34,36,47","5,7,20,23,48","5,7,10,12,15,24,28,31,40,41,42","6,16,26,35,37,45","2,5,9,15,17,20,23,26,35,38,43,47","14,15,26,29,41,44,45,48"
"1,5,8,19,34,39,49","0,2,3,13,26,32,33,34,38","3,4,5,18,20,24,25,27,28,35,41","3,6,8,9,12,14,34,42,49","0,1,14,18,20,28,38,43","0,4,5,13,14,17,20,24,34,45"
"4,9,10,12,16,39,40,45,46","1,6,8,19,25,29,31,43","3,7,9,10,13,15,20,46","2,3,8,15,20,21,29,39,42,47","3,8,11,13,31,32,45,49","2,5,6,13,14,17,30,42,46"
"7,9,10,19,22,26,27,33,39,46","13,21,30,33,45,46","3,7,8,9,12,15,18,23,24,28,37,43","2,4,6,14,16,25,34,35,38,41,44","16,17,27,30,32,34,48","2,3,5,7,8,14,21,23,32,40,41,49"
"2,5,14,17,26,29,32,42,45,49","1,7,8,14,23,26,33,36,39,40,43,48,49","0,2,4,5,7,8,15,17,19,21,34,44,46,48","0,1,8,13,23,28,35,47,49","2,8,13,18,20,21,23,28,30,36,38,41,43,46,47,49","2,4,5,14,16,17,27,38"
"3,5,14,15,25,29,33,35,37,43,45,48","16,31,44,47,49","6,10,18,20,27,28,29,33,35,36,45,47,48","3,4,6,16,21,23,31,33,39,49","3,8,15,18,31,32,36,38,44,45,46,48","9,14,18,31,33,34,42,49"
"5,8,35,38,44,45","6,15,23,35,41,44,47,49","7,8,12,21,22,23,26,28,32,37,41,43,44,45,49","7,11,22,24,32,39,40,45","4,7,11,16,18,20,37,42,49","1,2,3,14,20,22,23,26,37,39,45,48,49"
"4,8,10,16,17,18,19,21,22,28,38,41,43,49","1,6,9,18,21,27,35,36,43,44","1,4,5,9,20,27,28,35,41,42","4,25,28,36,41","7,9,11,12,20,26,42,48","12,25,27,28,31,34,35,37,48"
"1,14,17,23,24,25,26,33,34,44,49","2,6,28,31,33,39,43","0,1,5,23,27,30,33,37,39","6,7,12,14,21,29,31,32,36,37,47,48","2,5,8,10,12,25,27,28,36,44,45","14,27,37,41,43,47"
"0,18,22,31,43,44,49","3,4,19,20,21,22,26,35,42,44,46","2,3,6,10,12,13,18,23,27,30,44","1,4,6,7,18,25,29,35,36,39,45,46","10,19,23,24,32,33,39,43","6,18,20,21,22,29,33,47,49"
"3,4,11,15,18,20,26,35,45,49","1,2,9,14,18,20,22,28,33,37,38,41,43,45","2,4,8,13,16,20,25,27,30,33,35,40,43,46,47,48,49","7,9,11,16,19,20,22,26,29,32,36,42,44,45,48","0,7,8,12,14,15,16,28,34,37,43,44,45","15,17,19,33,34,36,40,43,44"
