mg,mo,gm,go,om,og
"21,24,25","11,31,45",37,"25,34,36","12,15,23,25,29,31,35","0,2,3,5,16,39"
"11,22,23,29,44","0,13,20,27,28,31,32,47","16,25,29,35,40","2,11,15,31,36,40,49","3,32,37,41,43,45","1,4,5,9,24,40,42"
"8,20,21,31,39,48","22,30","5,16,21","0,16,20,26,30,37,41,48","25,26,30,31","15,21,30,41"
"3,16,31,34,35,48","0,9,16,24,28,30,33,45,47","10,13,24,30,31","0,9,10,17,22,34","16,28,29,33,37","2,17,29,37"
"6,7,13,14,16,20,21,49","11,16,18,23,29","8,12,18,23,39","3,4,6,8,9,13,17,23,36,48","1,2,9,18,29,39",43
"3,11,16,17,34,40,45","3,7,8,15,31","5,12,14,16,17,20,22,44","14,22,36","6,12,26,31,38","5,16,44,46"
"3,5,25,36","11,15,16,47","5,8,13,18,31,33,47","0,19,27","3,18,40","1,3,7,28,31,46"
"5,9,29,47","8,14,15,20,26,28,36","3,6,19,27,31,36,41,44",15,"6,26,40,42","0,6,8,16,18,20,41,42"
"11,21,35,44","2,7,13,24,39","10,14,34","0,5,10,43,46","1,2,22,35,41","3,16,28,29,32,33,39,42,46"
"23,28,43,45,46","8,9,21,27,29,31","7,14,26,41,44,48","20,31,46,49","16,22","0,1,4,11,30,45"
"19,20,44,45,49","26,33,38,40,48,49","3,14,15,41","3,23,39","3,8,19,38,39,45,49","1,9,11,27,47"
"2,18,32","8,15,18,32,38","6,9,10,11,14,19,20,30","19,28,36,44,49","13,20,21,36,44","1,10,13,21,22,38,48"
"29,40,43,46,49","4,24,34,35","9,14,19,21,33,40","16,19,29","19,38","17,29"
"0,10,35,37,38","4,17,18,20,29,36,44","24,49","4,15,30,35,43,49","6,20,23,25,27","24,30,44"
"9,23","25,35","12,14,17,45","2,9,10,16,20,22,29,35,36,44,48","13,17,18,23","1,4,22,24,25"
"1,14,19,43,44","20,29,45","0,5,7,8,16,24,37,40,43","27,32,43,49","7,18,20,21,24,27,47","2,12,17,24,36,41,43"
"6,24,27,33,35,37","1,26,39,45","0,7,12,16,21,29,36,38,43,45","7,21,22,33,41","9,41,47","0,3,25,39,42"
"8,26,42,44,49","25,29,38","7,33,37,38","7,37","6,18,28,31,43,44","11,13,20,21"
"14,16,21","3,13,47","37,40","3,10,21,33,34,36","18,25,27","0,20,36,37"
"16,20,27,34,47","12,17,27,43,44","18,35,47","1,9,25,26,38","7,29,31,34,46","0,2,14,24"
"3,15,37","5,11,18,24","9,16,22,24,30,31",39,"15,38","15,30,32,42"
"9,41","0,3,5,6,19,26,38","19,21,22,32,38,40,45","2,27","6,14,38","16,17,29,37,39,41,43"
