mg,mo,gm,go,om,og
"3,16,30,31,39,40,45,48","1,5,22,23,24,25,40","3,6,9,14,16,17,25,28,29,34,42,44,46","2,6,8,11,21,29,39,42,44,45,47,49","6,17,26,27,32,45","2,3,4,15,19,23,24,36"
"3,5,7,17,19,22,27,31,33,36,43","8,11,13,23,24,29,36,39","5,10,13,17,25,27,29,33","6,8,9,15,24,25,30,34,38,44,48,49","9,16,17,23,26,31,37,38,40","1,20,22,23,28,30,35,39,40,46"
"9,15,19,36,41,46,47","11,17,34,45,47","0,8,21,31,33,41,44","5,10,13,21,24,35,37","0,1,8,10,12,14,15,20,34,40,47,48,49","3,16,18,19,24,25,32,34,47"
"2,8,9,10,15,29,40,44,49","5,8,9,12,16,18,21,25,30,39,41,47","11,15,16,17,18,40,41,49","0,5,20,21,23,30,35","1,4,12,14,16,18,20,21,28,34,49","13,14,23,25,39,41,43,45,47"
"0,14,15,16,18,19,26,33,41,43,45,49","13,38,42,43","2,17,19,28,29,33,35","3,5,11,19,20,22,25,26,39,40,49","0,1,5,6,14,16,19,20,21,30,32,42,47,48,49","3,6,7,9,15,17,21,22,25,34,39,46"
"0,2,7,11,16,17,19,20,21,30,32,36,41,43,47","0,6,8,10,11,14,15,16,19,25,28,45,46","0,4,6,7,8,12,14,27,29,38,39,46,49","13,16,18,22,23,24,25,31,37,40,43,44,47","2,18,20,23,25,28,37,43","14,18,21,24,25,32,38,46,47,49"
"0,11,15,38,41","3,4,11,12,16,17,20,21,27,30,32,34,38,40,43,47","0,1,3,8,11,17,19,24,30,39,40,46","11,12","0,3,15,17,18,27,30,38,43,46","0,1,24,31,36,37"
"1,3,4,11,14,21,25,29,32,39,44,48,49","2,7,11,16,17,20,26,27,28,29,32,41,43,44,45","2,4,11,15,21,39,40,43,47,48","3,5,13,35","1,3,9,12,26,27,36,38,42","6,10,11,13,14,18,28,35,37,49"
"2,11,20,24,28,29,32","1,3,5,8,9,10,23,25,35","9,13,14,16,18,28,31,45","2,4,12,14,15,21,27,31,40,45","0,2,3,7,9,16,19,25,27,36,49","0,1,3,9,10,11,17,19,34,35,37,38,39,42"
"1,3,4,17,18,20,21,24,25,31,39,46","0,1,7,8,9,11,18,32,46","2,3,8,10,13,23,27,28,38,46","3,8,13,19,37,39,41,42,43,44,45","6,8,12,21,27,37,39,41","0,8,10,17,20,40,41,42,45,47"
"10,12,26,42,44,46,48","0,8,12,17,24,26,30,34,39,43,46","1,5,15,16,17,20,25,32,44,45","5,7,10,15,16,21,30,33,34,43","0,10,13,15,17,23,26,30,43,44","5,9,12,15,17,18,19,21,23,30,34,37,45,46"
"1,3,4,8,11,22,28,36,42,46,47,49","0,18,21,37,49","0,4,6,8,9,16,20,21,29,43","3,4,5,17,26,31,34,38,45,49","1,5,7,8,9,10,16,36,41","2,3,5,8,9,17,25,28,31,32,39,41,43,44,46,49"
"0,30,34,37,44","0,18,20,24,43","4,12,14,15,19,25,27,28,35,37,39,44,48","8,12,15,17,22,25,31","0,17,18,26,27,29,42,49","3,5,9,38"
"2,4,6,9,12,15,16,18,21,22,24,35,40,41,44,45,46,47","9,15,39,45","4,8,11,15,18,19,21,24,36,37,45,46,48","1,2,9,13","1,10,14,35,36,38,44,47","5,11,13,18,30,37,41"
"0,1,2,6,7,9,11,18,20,36,40,47,49","2,11,12,16,22,23,37,42,46,48","4,9,14,17,18,32,45,46","22,24,28,30,34,36,43,44","6,8,16,22,26,30,45","1,4,5,7,8,16,18,21,30,31,34,40"
"0,4,24,32,35,37,38,40","10,16,33,37,40","1,3,10,15,33,35,42,43,44,46,47,48","5,6,9,10,13,16,21,27,28,37,44","4,9,10,13,14,28,41,46,49","5,9,12,17,22,23,27,39,40,46"
"9,14,33,39,45","1,2,7,12,13,27,28,31,33,41,47,49","2,4,6,17,18,21,22,25,31,34,48","2,5,7,10,12,15,16,17,20,26,43,45,47","1,13,18,21,45,47","4,5,6,12,16,17,18,34"
"2,13,32,33","2,4,15,16,21,25,29,48","1,32,35,39,46","8,10,14,15,16,17,18,26,27,28,30,33,46","2,4,31,34,35,40,42,46","7,11,12,14,17,22,25,29,35,41,42,46"
"6,10,17,25,29,39,40,46","5,11,14,21,26,27,33,40,46","10,12,13,19,26,35","8,13,14,25,28,32,39,44,48","10,14,18,24,26,39,40,45,47,49","12,16,21,31,40"
"7,16,25,26,27,32,37","2,5,6,10,14,29,38,39,40,46,47","2,3,9,16,19,20,27,29,36,38,40,41,47","21,23,24,28,31,35,48","1,2,6,8,12,18,21,23,30,33,39,48","3,6,14,20,24,29,38,46,47"
"4,14,17,23,26,27,39,45,46,49","6,9,16,21,22,37,38,41,42,47","1,2,6,14,15,16,17,19,20,23,33,34,35,38,44","6,15,17,21,29,34,35,38,43,45","7,10,17,20,26,35,38,39","2,6,8,11,24,25,28,43,44,47"
"1,7,22,23,39,44,48","9,11,13,14,16,19,29,31,35,42,47,48","2,10,18,22,24,25,26,33,42","6,7,10,14,18,23,29,31,33,37,42","1,11,12,17,18,19,23,27,36,40,45,46","5,6,7,8,29"
"5,8,11,15,20,35,41,48","7,10,14,15,16,24,27,32,37,48","4,10,11,15,16,17,18,30,31,47","3,7,9,13,28,29,37","7,12,15,18,19,24,34,40,41,49","5,9,13,20,29,41,43,45,47"
"8,12,13,27,31,35,47,49","1,3,5,8,9,12,25,26,30,48","8,21,24,25,44,46","3,7,13,18,23,31,40,42,46,49","1,2,5,10,24,26,27,30,32,44,45,47","4,7,8,13,16,18,25,29,30,34,36,40,45,46,48"
"0,12,16,17,18,20,22,30,32,35,40,43","0,3,6,10,30,33,43,44","2,6,9,17,23,27,30,32,33,41,45,47,48","0,4,5,6,7,8,9,15,16,31,40","2,13,15,19,27,44,47","14,20,21,25,29,34,35,38,46"
"12,14,15,28,30,33,34,44,46,49","0,2,7,10,15,20,34,36,38,41,43,47,48","0,2,8,9,10,11,13,15,18,20,24,33,36,40","9,10,12,17,23,29,30,42,43,46","9,10,11,15,17,22,25,27,33","5,8,19,20,28,29,31,36,40,47,49"
"3,16,19,20,25,26,29,33,34,35,37,43","10,12,16,26,35,37,41,49","1,4,8,16,22,29,30,31,33,38,40,45","7,11,14,21,24,25,30,31,35,37,39,43,44,47","3,7,14,25,29,30,34,38,39,48","1,3,4,5,8,10,11,13,37,43,45"
"8,27,35,39,42,44","0,4,6,10,11,17,22,24,33,36,38,43,44","2,4,6,19,22,25,31,33,34,43","0,9,10,13,22,23,25,29,39,40,42,45,47","2,10,12,13,17,22,23,26,36,39,40,41,45,49","5,6,7,10,11,14,20,25,36,46,47"
"12,13,15,27,32,33,35,36,44,48","1,2,4,5,7,18,22,24,39,46","6,13,20,27,30,41,42,48","0,5,7,10,14,43","10,34,37,41,42,43,45","1,6,17,19,21,38,39"
"0,10,15,17,23,25","6,10,22,23,24,28,32,35,38,42,47","4,5,10,18,23,24,27,31,34,40,43,45","2,3,4,25,27,31,45","0,1,8,10,11,14,31,36,46","9,10,15,20,21,24,31,43"
