mg,mo,gm,go,om,og
"15,24,35,44,49","3,5,8,10,19,20,30,35,36,41,44","0,20,33,41,42,45","15,23,25,26,31,38","28,31,43,46,49","13,27,35,37,42"
"3,15,28","16,31,35","42,44","0,3,4,17,23,26,41,42","16,19,28,31,36,37,49","27,29,44,48"
"4,15,37,39,43,49","5,37,42,45","9,13,24,26,48","34,41","1,25,26,38,44","0,5,14,20,21,22,33,47"
"11,23,30,31,33,42,47","4,5,15,31","6,21,27,29","13,17","10,15,28,49","16,30"
"2,4,25,48,49","4,13,20,23,31,37,41","6,16,25,26,38,47","2,4,16,39,43,48",5,"3,8,15,18,21,29,38"
"5,16,23,25,37,39,43","10,15,23,34,38,42","5,10,18,31,45,46,47,49","3,14,17,37,47","4,17,35,41,44","21,22,34,40,48"
"12,24,27,32,38,39,48","3,5,28,41,47","27,35,37,41","3,21,22,32,49","9,13,38,41,43,48","7,44"
"0,37","3,5,18,21,22,24,45,47","1,3,5,19,22,42,46,48","6,7,10,12,19,30,33","9,27,46","12,16,17,20,33"
"2,20,24,39","7,8,15,33,35","2,9,49","7,15,16,19,22,25,29,32,36,47,48","6,9,15,17,42","4,11,20,29"
"3,8,9,17,19,20",,"24,38,46","7,24","13,14,20,21,31,42,49","1,16,28,31,40,41,44"
"2,8,26,37,45,49","14,21,22,30,32,36,46","24,32,44","3,5,7,10,13,16,30,38,45,46,48","1,14,22,24,25,33,36,43,44,46","4,11,18,21"
"20,31,41,46",10,"9,10,20,27","12,33,42","2,8,19,31,43","6,15,27,29,35,49"
"2,13,21,46","31,34,35","3,11,20,24,35,40,47,48","23,28,36,43,47","1,13,29,34,37,38,42","28,32,40,48"
"42,45,47","11,17,19,33,35,42","6,17,18,20,41","26,40","7,8,14,16,26,33,36,43","17,23,35,38,39,42"
"19,20,27,33,46","8,16,18,26,42","12,21","5,8,17,21,32,34","0,14,19,21,22,29,33,34,49","0,8,36"
"38,44","13,19,20,22,31,34,37,40,44,45","0,6,9,17,40,43","35,39,42,48","17,18,21,31,37","9,29,33"
27,"19,22,33,36,47","12,23,26,28,31,48","15,21,39","11,23,25,36,43","26,39,48"
"1,3,18,25,30","0,10,20,23,27,33","0,5,27,36,46,49","6,10,25,34,46","13,26,39","5,9,21,31,43,45"
"3,42","2,6,17,38,39,46","18,20,23,26,27,29,47","4,8,34,37,46,47","13,14,17,39","25,36,37"
"5,7,15,33,36,43,47","3,6,7,19,47","5,17","17,26,30,33,46","1,36","8,9,13,34,41"
"3,5,11,21,27,34","16,20,26,27","16,32","2,30,40,45","21,25,27","0,10,12,16,17,22,23,42"
"12,13,21,22,28","0,3,6,19,29,30,33,47,49","18,24,34,39","2,9,13,21,34,41","23,26,34,35,43,48","14,17,18,22,32,36"
"4,20,36,44,47","8,21,27,31,32,34,37,42,43","2,9,15,19,20,23,26,40,44","4,13,20,38","2,4,7,18,43","6,18,25,33,45,47"
"7,8,16,20,22,31,43,45","6,23,26,31","2,4,19,21,36,43","4,8,22,27,30","14,18,19,21,36","12,20"
"3,11,13,17,21,26",3,"13,31,34,44","0,6,14,38,43","16,23,28,36","1,5,15,16,17,31,41,48"
"0,26,28,30,38","1,3,9,21,28,31,46","6,32,33,35","16,49","31,39,46","15,18,31,38,39,40"
"4,14,16,25,26,33,39","0,10,49","17,24,34,40,43","2,10,23,43,48,49","6,16,27,28,37,40,42","26,29,33,39"
"5,13,15,23,28,33,37,48","6,16,19,27,42","1,6,20,25,27,48","20,22,26,33,37,45","6,7,12,49","1,15,25,29,31,36,47"
"4,26,29,38","21,22,24,30,35,48","5,21,23,25,31","1,6,32","16,42,47","15,27,46,47"
