mg,mo,gm,go,om,og
"2,27,28,40,42,46,49","1,7,16,22,38","22,23,30,32,35,40,46,49","3,12,33,35","0,16,32","2,13,16,22,29,31,34,47,48"
"22,27,28,31,37,49","8,14,21,43","3,16,18,31,39","16,19,22,24,47,49","6,13,21,23,37","7,9"
"18,20,24,28,44","2,18,24,45","1,4,21,48","20,28,36,45","2,5,20,29,32,41,48","6,7,18,21,41,44"
"2,12,20,32,38","21,33,44","10,11,14,18,33,48","10,11,16,19,23,31,37,42","2,11,16,31,43,46","16,23,29,40"
"0,8,34,38,40,41,44","5,10,11,12,16,28,45","4,6,16,18,22","25,35,36,41","11,22","7,21,30,38,41"
"0,11,45","1,8,14,41","9,30,45","15,19,26,45,49","2,8,18,36,39","0,8,11,14,24,43,49"
"3,12","1,5,11,12,13,38,47,49","14,31","5,6,7,13,14,37,42","28,29,34","10,17,25,30,32,35,41,45"
"6,17,33,34","0,5,31,32","17,20,21,33","6,18","11,38,40","9,16,38,42"
"4,8,11,30","0,4,6,15,17,26,30","13,20,21,22,35,36,37,43,49","5,14,37,41","18,24,31,34,39,44,49","0,13,22,45"
"1,4,8,16,30,37,46","22,26,30,38,40","15,17,36","4,20,23,29,33,45,47","5,13,18,40","3,29,37,46"
"5,12,20,25,37","3,6,9,11,35,38,41","7,28,29,39,47,49","12,24,26,42,44","28,29","4,7,38"
"7,10,21,26,36,49","1,3,14,17,23,28,45,48","7,12,21,34","11,14,20","2,6,27","14,23,35"
"20,34,38,40,42,44,47","6,20,22,39,41","23,35,47","7,17,18,26","9,13,14,19,27,34,41,42,47","4,7,8,19,43,45"
"0,19,23,27,38,46","15,34,42","0,1,10,27","44,46","15,16,23,35,47","7,13,15,20,29,36,38,45"
"16,31,35,36,46","17,26,28,32,41,42,48","0,24,27,32,36,40","1,20,42,46","4,9,13,19,33,36","1,5,10,16,41"
"4,7,11,12,18,20,28,32","2,9,19,33,37","4,16,34,44","1,18,26,31,48","6,19,30,39,40","0,4,17,20,24,36"
"28,29,34,40,44,46","12,25,34,40","16,31,34","1,33,35,36,43,46","6,7,10,44,45,49","14,22,24,36,39,43"
"5,6,7,14,18,28,43","7,8,9,14,21,39,40","7,21,29,30","17,29,43","9,13,35,38","0,4,7,10,23,26,28,43"
"8,15,46,49","27,37,44","15,23,24,32,33","1,2,24,27,30,33,45,48","4,16,20,26,29,30,48","1,15,16,40,44"
"21,30,40,45","5,13,18,25,28,35,45","7,13,19,41","1,11,36,39,42,48","6,32,37,49","7,10,12,16,18,39,48"
"10,16,20,34,45,47,49","16,27,29,35","3,20,24,32,36,39,43","8,11,12,23,38,41,42,45","0,2,7,29,36,37,46","12,15"
"3,4,6,14,39,45,48","13,22,32","18,24","2,9,22,24,26,34,45,48","8,19,25,30,32,34","3,5,19,24,28,40"
"4,17,19","6,32,48","0,10,16,20,32","6,27","6,15,17,33,34,43,48","4,23,26,30,34,39,40"
"3,28,40,44","23,42,46","18,37,44,46,47","8,9,13,17,18,25,32,36,37,43,48","5,8,21,47","1,8,9,36,37,43"
"7,15,35,43","0,28,36","2,22,24,32,36,43,47,49","4,7,22,38","1,9,23,38","16,30,33,48"
"14,25","13,36,46","6,15,25,39,40,41,46","7,26,28,32,33","8,16,18,22,24,31,39","15,22,25,29,38,40,41"
"8,15,18,20,43,45","2,6,23,40","5,20,29,33,34,36,38","8,13,29","43,45","12,14,33,34,36"
"1,30,32,43,44","11,32,33,43","32,40","11,20","13,16,26","13,21,29"
"2,18,22,23","1,4,15,16,17,18,22,38,42","6,41","20,39,44","2,15,31,34,42,49","7,10,35,38,39,41,43"
"2,15,20,28,30,44","1,14,28,36,39,48","20,21,31,38,40","7,9,25","1,26","0,5,7,21,25"
