mg,mo,gm,go,om,og
"7,8,9,14,16,21,23,25,28,29,34,43,45","4,7,11,17,27,31,39","3,5,11,18,23,25,31,34,36,42,43,48,49","0,11,14,21,27,30,31,33,36,43,45,48","0,1,3,7,12,14,16,23,30,31,33,34,42,46,48","0,7,10,14,15,18,21,26,35,36,38,47,48"
"4,6,10,14,19,22,26,31,32,36,38,49","0,2,7,8,12,13,16,17,20,21,22,25,31,33,42,45,48","1,2,7,9,13,20,22,24,32,42,45,47","3,4,9,21,27,34,43","1,4,14,16,21,27,34,35,37,40","7,8,10,12,30,37,45,46,47"
"0,2,3,8,9,13,18,23,25,29,30,38,47","3,9,15,30,36","0,4,20,27,31,33,34,35,37","8,9,24,26,32,44,47","3,10,15,19,20,25,29,34,39","10,11,20,24,26,31,33,34,49"
"2,3,5,17,21,22,42,45,46","4,7,12,14,19,20,24,28,33,34,42,45,46","8,14,22,24,26,31,36,38,43,46","2,6,10,14,16,17,18,29,32,34,35,44,45","6,7,18,23,27,34,37,38,44,49","5,15,18,19,30,34,39,40,41,43,48"
"1,12,15,16,17,20,25,35,39,47","5,10,11,29,30,31,38","1,9,12,13,16,20,23,41,43","18,20,22,24,26,33,36,47","4,15,27,32,39,43","0,5,14,15,16,24,26,28,40,41,45"
"0,4,24,29,31,33,42,43","1,11,20,23,25,26,28,44,47,48","6,9,12,16,18,19,28,34,49","2,4,7,14,16,19,29,33,36,37,38,44","13,16,20,22,36,43,48","6,7,14,16,18,22,23,33,38,41,47"
"1,18,21,27,28,37,39,42,44,46,47","0,5,6,12,15,17,28,31","0,1,3,16,18,19,22,28,30,32,43","0,4,9,18,19,26,36,37,40,41","1,3,18,25,27,28,30,43,45,47","1,4,8,10,15,16,21,29,36,46"
"6,21,29,37,39,47","1,4,7,13,17,19,24,33,36,41","5,14,22,24,27,29,31,45","28,29,40,44","0,11,14,18,20,26,31","8,9,11,25,27,29,42,44"
"1,8,11,13,28,34,36,41","4,7,17,22,28,32,36,40,43,45","4,13,15,24,31,39","1,2,5,10,11,12,15,17,23,25,34,35,45","6,10,13,24,26,31,39,40","1,2,5,14,20,21,22,32,36,39,41,42,43,47"
"5,8,16,17,19,22,24,25,29,30,35,39,44,49","7,9,11,13,16,22,29,30,31,40,43,49","0,1,7,13,23,27,34,35,37,40,42,43,47","1,2,3,4,5,8,10,17,24,41,46,47,48","5,8,9,10,22,23,26,28,31,34,47,49","1,2,6,10,13,17,22,32,39"
"3,7,10,20,23,28","2,3,6,11,13,14,18,21,26,39,42,44,47","4,8,17,23,34,39,40,45,48","3,4,18,30,31,38,46","0,3,5,14,16,30,33,37,41","18,20,24,25,47"
"4,11,16,18,24,34,37,49","7,9,10,22,32,34,39,43","3,8,27,38","1,2,4,21,24,27,38,39,41,43,49","2,11,13,23,25,29,38,47,48","0,3,12,13,16,18,21,22,26,27,36,39,43,45,48"
"2,5,6,13,15,16,17,22,24,27,31,32,39,42,44,45,48","6,7,11,13,19,22,23,24,25,31,36,43,44,45,49","3,5,22,30,33,38,43,45,46","5,8,12,15,24,25,39,40,46","3,5,11,13,25,33,39,40,42,49","6,9,16,23,25,30,36"
"2,7,9,13,15,19,24,31,37","1,7,13,16,18,19,20,23,36,42,46","2,8,12,17,26,31,37,46,49","5,7,11,19,21,22,35,39,40,43,44","5,8,11,14,19,20,36,38,42,43,46,47","10,12,13,16,25,30,35,37,39,40"
"3,4,11,17,22,25,38,45,46","2,14,16,27,35,39,42,49","10,11,13,15,18,23,30,37,42,47","0,3,22,28,30,33,34,36,43","4,24,29,30,34,35,39","14,19,22,26,27,28,36,40,42,43,48"
"24,31,35,36,40,44,46","3,11,12,23,25,32,37,40,42,45","2,10,13,16,28,29,33,35,40,41,44,45,46,47,48","11,17,18,23,35,43,48","1,3,10,37,42,45,46,49","3,6,8,10,12,16,18,20,27,28"
"5,16,21,25,33,34,40","8,10,11,17,19,25,33,35,39,47","1,3,5,19,21,23,24,36,42","3,10,14,20,22,27,48","6,7,20,21,26,43","0,9,16,17,18,27,32,33,44,45,47,49"
"0,1,18,20,30,32,40,44,46","2,9,13,18,21,24,26,30,34,36,41,42","5,12,19,26,28,29,31,34,41,42,46,48","11,12,25,30,31,33,35,41,42","11,22,32,33,36,38,43,45,46,48","16,33,34,35,44,47,48"
"0,20,21,31,32,37,40,41,43,44,48","1,6,19,23,30,34,46,47","0,4,5,6,13,14,16,21,37,38,39,40,43,45,46","9,16,25,26,35,36","3,4,6,7,16,20,30,31,37,45,47,49","0,6,9,19,21,28,29,34,35,43,45,47"
"2,4,5,7,12,18,21,26,37,39,41,44,45","5,12,19,20,32,42,43,48","6,9,10,15,18,19,30,40,41,44,47,48,49","3,6,14,21,25,26,27,30,49","0,1,6,9,11,15,16,20,29,39,42,45","1,10,11,28,31,33,39"
"12,22,23,31,36,38,39,48","3,4,6,8,11,18,22,34,35,37,41,44,46,48","12,13,16,25,27,28,34,43,49","2,4,13,19,29,30,36,45","6,7,19,23,25,32,35,36,37,39,41,46","5,8,11,17,18,39,43"
"2,11,14,17,21,22,25,26,28,31,34,40,42,43","0,5,15,20,21,26,27,28,35,38,39,49","5,7,12,19,20,22,27,40,43,46","2,4,7,11,15,20,25,30,33,36,40,42,46","5,6,14,19,21,30,31,33,34,41,47,48","1,14,17,22,23,33,35,36,37,46,47,48,49"
"8,13,17,18,19,20,37,41,45,46","3,7,12,13,18,25,47,49","3,9,13,20,21,28,31,34,37,39,40,41,48","3,7,9,13,16,21,29,38,39,48","0,7,8,9,27,32,34,42","3,4,5,9,14,15,19,20,24,25,27,29,35,46"
"6,16,18,23,29,32,34,37,40,46","0,1,13,14,16,28,37,39,40,41,49","3,13,14,16,22,25,34,36,41,44","2,3,7,19,23,26,33,38,40,45","1,2,4,13,18,19,20,21,23,25,30,34,37,46,47","1,3,6,12,13,15,22,25,30,42,45,49"
"4,5,7,10,25,34,35,37,39,40,43,46,47,48","3,6,10,19,22,35,37,39,42,45,46,47","0,1,8,11,13,25,28,36,37,39,44,45,46","13,14,20,23,28,43,44,46,47,48,49","3,5,14,16,25,35,40,42,46,49","13,17,31,32,34,43,46"
"3,10,11,23,31,36,37,41,48","1,7,11,18,20,28,31,33,35,40,43,45","0,4,5,7,8,14,16,18,24,26,28,29,46,49","3,13,14,15,17,22,23,27,30,32,38,39,40,43,48","0,6,16,20,27,32,38,40,44,46","1,8,14,15,19,20,24,26,31,46"
"2,21,22,32,37,39,41,44","2,21,22,27,33,39,43","1,4,21,34,40,42,46,47","6,8,10,16,17,20,21,22,25,33,36,39,43","2,3,5,18,19,23,27,41,42","2,11,12,13,18,19,20,22,31,37,38,44,46,47"
"5,8,22,27,35,41,42,47","0,6,8,12,25,31,34,37,40,46,49","0,5,9,11,13,15,23,31,33","6,7,16,19,24,38,43,45","9,15,17,31,34,36,43,44,45,49","0,8,12,14,19,21,33,41,46"
