mg,mo,gm,go,om,og
"17,25,26,31,33,36,37,48","11,13,25,30,31,46","4,18,20,22,29,34,46,49","12,35,42","1,34,37,44","2,4,5,22,46"
"6,8,18,24,34,49","2,11,17,35,39","37,38,39,41","4,12,25,32,49","5,34,41","23,30,36,42"
"6,27","2,20,30,33,39,40","10,12,34,36","7,14,17,18","3,13,18,37,40,42,43","8,9,13,16,24,33,43"
"11,36","5,24,32,37,39","25,32,36,47","28,46","0,2,6,27,29,47","2,24,38,46"
"4,26,32,45,48","15,18,22,25","2,14,19,21,27,34,48","24,42,49","2,6,22,27,32,39","3,5,15,18,20,38,47"
"3,12,22,30,48","1,4,9,31,40,46,49","0,13,31,34,36,42","0,7,13,19","5,22,23,30,49","10,15,16,28,33"
"5,38,40,42","15,35,36,37,45,49","27,35,45","12,19,20,24,29,32,33,36,38","2,25,29,38,39,42,47","0,8,9,15,21,24,33,34,37,48"
"3,20,27,29,31,32,35","7,9,27,28,39,49","1,17,28,35,38,47","2,15,23,33,42,47",38,"1,2,45"
"19,21,33,34,45","4,25","3,7,24,34,39,46,49","17,25,43","1,2,15,24,28,33,39","0,4,19,27,44"
"23,24,29,30,32,37,44,45","1,20,23,24,25,41,43,46","6,8,9,11,27,30,49","5,8,21,28,41",33,"10,26,33,46,47"
28,"3,12,27,29,43","9,15,16,18,23,27,36","1,8,21,26,33,42,45","9,21,25,30,33,42","2,5,6,7,13"
"1,18,28,34,48","6,7,15,16,24,33,34,49","13,33","8,11,13,14,16,30,31,40,47","0,7,14,17,24,39,41","0,17,25,33,47"
"14,25,28,35,40,47","1,4,8,12,18,22,31,33,35,38,43","4,14,16,18,20,22,24,42,48","9,13,22","10,11,26,28,29,30,34","0,6,9,19,47"
2,"22,29,40,44,49","9,10,15,23,33,39,45","12,22","14,29,32,40,49","15,24,38,48"
"2,14,24,26,28","15,28,38","8,19,20,23,24,25","0,45","0,1,23,36","2,4,8,17,36,42"
"5,16,17,32,39,42","1,4,14,29,33,37,44","1,7,9,25,33,42","3,10,19,28,41","4,11,44","16,25,27,31,34,37"
17,"8,9,15,25,29","3,9,14,48","22,25,29","2,7,12,23,36,37,39,46","2,25,35,48"
"0,18,45,47","16,17,21,27,42","8,36,45,49","1,6,12,17,26,35","2,18,21,23,24,25,40,42","5,9,15,19"
"2,8,18,33,40,44","24,47","1,2,14,20,22,25,31,35,36,44","0,1,8,14,18,19,34","5,13,14,33,48","5,6,13,14,24,37,41"
"4,27,35,48","6,14,17,43",11,"7,27,30,36","4,9,13,27,32,36,49","8,12,30"
"14,23,30,34","21,30,33","26,39,44,48","4,15,31,36,38,39","1,18,45,49","8,14,22,34,38"
"0,8,24,31,39,43,47","6,21,45,49","2,14,21,27,31,32,38,46","4,15,33,40,43","3,24,26","12,15,19,24"
"2,5,27,35,36,44","2,11,16,20,32,40,46,47","19,28","10,15,25","1,5,19,32,33,34,38,40,48","1,25,28,31"
