mg,mo,gm,go,om,og
"8,16,45","15,18,19,23,38,39","11,13,16,22,28","4,6","4,18,21","25,32,33,43,49"
"6,7,12,37,45","20,32,43,46,48","15,26,31,38","21,23,25,41,48","41,45","5,19,35"
"35,39,45","3,4,8,16","2,7","13,14,23,38,43","7,10,13,16,40,48","3,10,36,40,41"
"13,23,38,46,47","29,35,36,47,48","2,5,24","0,4,17,34,39,49","5,6,16,27,35,40,47","9,15,27,34,42,46,47,49"
"12,20,23","3,5,35,36,42","20,26,28,30","15,27,33,44,47","2,17,47","7,31,39,44"
31,"3,16,21","8,35","21,41","4,6,21,32,38,40","1,11,17,21,22,35,40"
"0,2,7,11,16,23,33,34,42","3,10,26,27,47","24,28,37,39,42,45","10,12,21,23,36,46,47,49","12,31,38","3,8,13,25,27,29,41"
"5,6,27,35","5,15,43","0,2,5,19,20,22,25,31,32","6,13,25,28,46","0,14,16,35","15,17,18,22,40,41,42,43"
"4,19,22,24,25,35,38","6,7,10,12,15,26,44,47","4,9,12,24,26,34,41",2,"2,6,28,31","40,48"
"1,11,23","26,38","1,2,3,7,24,26,33,36,42,45,46,47","6,14,16,22,45,48","3,35,44","7,10,12,17,23,40,44,46"
"0,17,20,24,25,33,40,45","1,5,7,10,39","0,6,7,11","0,2,10,14,31,32,34,36,47","15,22,24,25,29,31,45,46","4,5,6,7,28,30,38,42,48"
46,"0,9,12,19,28,30,31","0,1,23,28,46","9,19,22,36,41,46,49","22,39","6,20,40,42,46"
"1,9,14,16,20,22,27,38,43,44","24,36","0,30,35,49","11,26,34,40,45,48","12,27,31","11,23,24,34,35"
"11,33,35,36,38","0,2,26,36,45,46,49","8,41,46,47","14,15,22,42,43,45,49","1,19","30,31,43,46"
"20,28,34","3,7,34,36",,"0,8,12,26,29,33,47","27,31,44","11,44,48"
"1,3,8,15,17,23","22,24,26,28,30,48,49","21,33","9,10,11,20,29,32,34","2,13,27,37","8,26"
"0,10,11,23","14,15,21","4,13,36,45","16,35","11,13,17,33,35,37,48","26,31"
"1,5,14,25,31,34,38",32,"0,22,26,29,49","1,2,16,33,41,44,47,48","2,4,5,13,34","20,30,33,39,47,48"
"13,24,39,45,47","33,34,47","22,30,33,38,42,43","10,19,28,48","30,34,38,44","2,9,19,26,28,31"
"5,21,28","2,4,8,19,23,25,32,44,48","4,7,8,9,18,23,24,29,44","8,14,17,21,28,41,46,48","19,20,38,40,41","7,12,32,43,44"
"8,25,32,38,46",12,"0,13,29,48","8,12,18,42","19,20,28,29,30,39,47","22,26,27,49"
"1,9,22,37,44","5,7,31,32,41,44","9,11,17,37,49","7,13,37","7,11,47","37,39"
"2,17,34","21,22,34,35,38,41,48,49","1,12,19,24,28,29,33,36,44","2,4,13,26","16,25,38,43","10,13,18"
"4,14,22","7,27,36","3,5,6,9,11,18,34","20,33,37","16,26,41,47","1,12,19,45"
41,"0,2,5,6,7,8,18,19,21,35,44","0,4,26,44","10,18,21,23,24,25,27,49","0,3,5","7,13,28,41"
"1,6,24,29","1,17,35,39",40,"18,22,23,40,47","12,14,37,38,48,49","17,21,27,33,35"
"2,12,22,25,34","0,5","14,22","1,12,19,23,26,27,47","2,8,9,20","12,29,36"
"8,12,15,34","38,47,49","5,6,28,44","13,16,23,29,35,47","4,14,17,23,47","2,18,29,45,46"
"7,35,38,40,43,48","6,9,25,30,34","11,28,37","4,10,14,20,25,30,35","3,5,7,24,35,37,40,47,49","0,7,20,33,49"
"22,25,32","15,17,26,46","9,11,16,17,18,26,34,47,48","1,39,43","1,6,29,48","1,25,28,29"
"1,3,5,25,27,29","6,14,26,47","2,7,10,12,19,27,36","19,25,27,29,43","0,4,17,29,45","4,22,23,27,35,48"
"6,10,25,29,45","0,4,9,19,20,36,37,39,43,44,48","5,7,11,19,34,49","0,4,6,8,14,19,33","19,22,24,34,43,46","0,12,13,15,20,22,26,30,33,41,42,43"
"4,6,8,9,15,36,45","18,32,41,45,48","1,4,11,13,44","24,26,30,33,46","7,8,17,19,31,35,38,47,48","7,17,25,28,33,34,35"
"0,13,28,33,37,47","0,1,5,9,41,44","4,9,10,14","16,19,36,44","3,8,29,31,38,43","2,19,22,27,29,40"
