mg,mo,gm,go,om,og
"2,17,18,20,40,44,47","10,17,36","10,17,22,24,28,32,39,43,48","23,40","17,33","0,30,42,48"
"10,11,18,20,26,31,35,49","2,5,26,29,35,43,48","13,14,22,43,48","1,3,11,22,23,27,36,40","8,19,24,43","0,1,11,18,20,25,26,36"
"10,21,37,42,46,49","9,10,13,18,19,39","15,19,20,21,35,36","17,34,44,45,46","6,7,39,47,48",
"0,30,33,43","8,17,22,31,33,36,49","7,14,27,35,36,37,46","5,36,40","7,10,21,24,34","37,38,40,45"
"48,49","9,23","14,16,29,34","19,20,23,26,31,43","17,31,33,42","1,22,28,42"
"1,16,28,29,43,49","5,7,30,41,47","12,15,20,22,39,47","4,8,9,13,25,26,37,41","6,15,47,49","2,7,14,26,45,49"
"14,15,18,37,38","4,20,22,38","5,40,42,47,48,49","5,13,14,17,21,30","19,38","5,15,23,41,45"
"14,23,25,48",,"27,32,37","12,20,31,35,49","21,24,30","7,21,39"
"0,11,36","22,31,46","2,9,13,26","16,26,28,35,40,42,43","5,14,25,32","4,8,11,16,33,39"
"3,6,40,49","10,14,20,22,25","7,9,21,36,39","6,28,49","6,7,8,12,15,16,17,20,31,45","0,2,3,11,20,28,30,33,34,39"
"6,10,18,25,31,42,43","1,3,4,9,15,28,39,42","2,11,33,37,49","1,5,18","4,27,33,42",14
"0,12,14,24,37,38,43,49","3,24,29,39,48","7,12,13,20,26,32,35,41,44","4,15,22,37","17,24,38,48",22
"23,33,43,47","0,16,42","18,21,26,27,38,39,41,42,46,48","18,25,36,42","5,29,31,40","9,31,44,46"
